,FIPS County,State,County,Sites
1192,061,Michigan,Houghton,
1193,063,Michigan,Huron,1.0
1194,065,Michigan,Ingham,29.0
1195,067,Michigan,Ionia,3.0
1196,069,Michigan,Iosco,1.0
1197,071,Michigan,Iron,
1198,073,Michigan,Isabella,5.0
1199,075,Michigan,Jackson,9.0
1200,077,Michigan,Kalamazoo,14.0
1201,079,Michigan,Kalkaska,1.0
1202,081,Michigan,Kent,29.0
1203,083,Michigan,Keweenaw,
1204,085,Michigan,Lake,2.0
1205,087,Michigan,Lapeer,6.0
1206,089,Michigan,Leelanau,
1207,091,Michigan,Lenawee,4.0
1208,093,Michigan,Livingston,9.0
1209,095,Michigan,Luce,
1210,097,Michigan,Mackinac,
1211,099,Michigan,Macomb,95.0
1212,101,Michigan,Manistee,2.0
1213,103,Michigan,Marquette,3.0
1214,105,Michigan,Mason,1.0
1215,107,Michigan,Mecosta,2.0
1216,109,Michigan,Menominee,1.0
1217,111,Michigan,Midland,5.0
1218,113,Michigan,Missaukee,1.0
1219,115,Michigan,Monroe,8.0
1220,117,Michigan,Montcalm,1.0
1221,119,Michigan,Montmorency,1.0
1222,121,Michigan,Muskegon,11.0
1223,123,Michigan,Newaygo,4.0
1224,125,Michigan,Oakland,133.0
1225,127,Michigan,Oceana,1.0
1226,129,Michigan,Ogemaw,
1227,131,Michigan,Ontonagon,
1228,133,Michigan,Osceola,1.0
1229,135,Michigan,Oscoda,1.0
1230,137,Michigan,Otsego,1.0
1231,139,Michigan,Ottawa,7.0
1232,141,Michigan,Presque Isle,1.0
1233,143,Michigan,Roscommon,1.0
1234,145,Michigan,Saginaw,20.0
1235,151,Michigan,Sanilac,1.0
1236,153,Michigan,Schoolcraft,
1237,155,Michigan,Shiawassee,5.0
1238,157,Michigan,Tuscola,1.0
1239,159,Michigan,Van Buren,4.0
1240,161,Michigan,Washtenaw,28.0
1241,163,Michigan,Wayne,151.0
1242,165,Michigan,Wexford,2.0
1243,001,Minnesota,Aitkin,1.0
1244,003,Minnesota,Anoka,25.0
1245,005,Minnesota,Becker,2.0
1246,007,Minnesota,Beltrami,5.0
1247,009,Minnesota,Benton,2.0
1248,011,Minnesota,Big Stone,
1249,013,Minnesota,Blue Earth,7.0
1250,015,Minnesota,Brown,2.0
1251,017,Minnesota,Carlton,2.0
1252,019,Minnesota,Carver,6.0
1253,021,Minnesota,Cass,
1254,023,Minnesota,Chippewa,
1255,025,Minnesota,Chisago,1.0
1256,027,Minnesota,Clay,7.0
1257,029,Minnesota,Clearwater,1.0
1258,031,Minnesota,Cook,
1259,033,Minnesota,Cottonwood,2.0
1260,035,Minnesota,Crow Wing,4.0
1261,037,Minnesota,Dakota,34.0
1262,039,Minnesota,Dodge,1.0
1263,041,Minnesota,Douglas,3.0
1264,043,Minnesota,Faribault,
1265,045,Minnesota,Fillmore,2.0
1266,047,Minnesota,Freeborn,3.0
1267,049,Minnesota,Goodhue,3.0
1268,051,Minnesota,Grant,
1269,053,Minnesota,Hennepin,69.0
1270,055,Minnesota,Houston,
1271,057,Minnesota,Hubbard,2.0
1272,059,Minnesota,Isanti,2.0
1273,061,Minnesota,Itasca,3.0
1274,063,Minnesota,Jackson,
1275,065,Minnesota,Kanabec,
1276,067,Minnesota,Kandiyohi,2.0
1277,069,Minnesota,Kittson,
1278,071,Minnesota,Koochiching,
1279,075,Minnesota,Lake,
1280,079,Minnesota,Le Sueur,1.0
1281,081,Minnesota,Lincoln,
1282,083,Minnesota,Lyon,1.0
1283,085,Minnesota,McLeod,2.0
1284,087,Minnesota,Mahnomen,
1285,089,Minnesota,Marshall,
1286,091,Minnesota,Martin,2.0
1287,093,Minnesota,Meeker,
1288,095,Minnesota,Mille Lacs,
1289,097,Minnesota,Morrison,1.0
1290,099,Minnesota,Mower,3.0
1291,101,Minnesota,Murray,
1292,103,Minnesota,Nicollet,2.0
1293,105,Minnesota,Nobles,2.0
1294,107,Minnesota,Norman,1.0
1295,109,Minnesota,Olmsted,11.0
1296,111,Minnesota,Otter Tail,6.0
1297,113,Minnesota,Pennington,2.0
1298,115,Minnesota,Pine,1.0
1299,117,Minnesota,Pipestone,
1300,119,Minnesota,Polk,4.0
1301,121,Minnesota,Pope,
1302,123,Minnesota,Ramsey,33.0
1303,125,Minnesota,Red Lake,1.0
1304,127,Minnesota,Redwood,
1305,129,Minnesota,Renville,
1306,131,Minnesota,Rice,3.0
1307,133,Minnesota,Rock,
1308,135,Minnesota,Roseau,1.0
1309,139,Minnesota,Scott,9.0
1310,141,Minnesota,Sherburne,2.0
1311,143,Minnesota,Sibley,
1312,145,Minnesota,Stearns,12.0
1313,147,Minnesota,Steele,4.0
1314,149,Minnesota,Stevens,
1315,151,Minnesota,Swift,
1316,153,Minnesota,Todd,2.0
1317,155,Minnesota,Traverse,
1318,157,Minnesota,Wabasha,1.0
1319,159,Minnesota,Wadena,3.0
1320,161,Minnesota,Waseca,1.0
1321,163,Minnesota,Washington,21.0
1322,165,Minnesota,Watonwan,
1323,167,Minnesota,Wilkin,1.0
1324,169,Minnesota,Winona,5.0
1325,171,Minnesota,Wright,8.0
1326,173,Minnesota,Yellow Medicine,
1327,001,Mississippi,Adams,5.0
1328,003,Mississippi,Alcorn,2.0
1329,005,Mississippi,Amite,
1330,007,Mississippi,Attala,3.0
1331,009,Mississippi,Benton,
1332,011,Mississippi,Bolivar,2.0
1333,013,Mississippi,Calhoun,1.0
1334,015,Mississippi,Carroll,
1335,017,Mississippi,Chickasaw,3.0
1336,019,Mississippi,Choctaw,
1337,021,Mississippi,Claiborne,
1338,023,Mississippi,Clarke,1.0
1339,025,Mississippi,Clay,1.0
1340,027,Mississippi,Coahoma,2.0
1341,029,Mississippi,Copiah,2.0
1342,031,Mississippi,Covington,1.0
1343,035,Mississippi,Forrest,10.0
1344,037,Mississippi,Franklin,
1345,039,Mississippi,George,
1346,041,Mississippi,Greene,
1347,043,Mississippi,Grenada,2.0
1348,045,Mississippi,Hancock,3.0
1349,047,Mississippi,Harrison,19.0
1350,049,Mississippi,Hinds,22.0
1351,051,Mississippi,Holmes,
1352,053,Mississippi,Humphreys,
1353,055,Mississippi,Issaquena,
1354,057,Mississippi,Itawamba,
1355,059,Mississippi,Jackson,8.0
1356,061,Mississippi,Jasper,
1357,063,Mississippi,Jefferson,
1358,065,Mississippi,Jefferson Davis,
1359,067,Mississippi,Jones,7.0
1360,069,Mississippi,Kemper,
1361,071,Mississippi,Lafayette,3.0
1362,073,Mississippi,Lamar,6.0
1363,075,Mississippi,Lauderdale,7.0
1364,077,Mississippi,Lawrence,
1365,079,Mississippi,Leake,2.0
1366,081,Mississippi,Lee,7.0
1367,083,Mississippi,Leflore,3.0
1368,085,Mississippi,Lincoln,2.0
1369,087,Mississippi,Lowndes,5.0
1370,089,Mississippi,Madison,13.0
1371,091,Mississippi,Marion,2.0
1372,093,Mississippi,Marshall,2.0
1373,095,Mississippi,Monroe,1.0
1374,097,Mississippi,Montgomery,
1375,099,Mississippi,Neshoba,2.0
1376,101,Mississippi,Newton,
1377,103,Mississippi,Noxubee,1.0
1378,105,Mississippi,Oktibbeha,4.0
1379,107,Mississippi,Panola,2.0
1380,109,Mississippi,Pearl River,4.0
1381,111,Mississippi,Perry,
1382,113,Mississippi,Pike,5.0
1383,115,Mississippi,Pontotoc,1.0
1384,117,Mississippi,Prentiss,3.0
1385,119,Mississippi,Quitman,
1386,121,Mississippi,Rankin,16.0
1387,123,Mississippi,Scott,1.0
1388,125,Mississippi,Sharkey,
1389,127,Mississippi,Simpson,1.0
1390,129,Mississippi,Smith,
1391,131,Mississippi,Stone,1.0
1392,133,Mississippi,Sunflower,1.0
1393,135,Mississippi,Tallahatchie,
1394,137,Mississippi,Tate,1.0
1395,139,Mississippi,Tippah,1.0
1396,141,Mississippi,Tishomingo,1.0
1397,143,Mississippi,Tunica,
1398,145,Mississippi,Union,2.0
1399,147,Mississippi,Walthall,
1400,149,Mississippi,Warren,5.0
1401,151,Mississippi,Washington,6.0
1402,153,Mississippi,Wayne,1.0
1403,155,Mississippi,Webster,
1404,157,Mississippi,Wilkinson,
1405,159,Mississippi,Winston,1.0
1406,161,Mississippi,Yalobusha,
1407,163,Mississippi,Yazoo,2.0
1408,001,Missouri,Adair,3.0
1409,003,Missouri,Andrew,
1410,005,Missouri,Atchison,2.0
1411,007,Missouri,Audrain,2.0
1412,009,Missouri,Barry,2.0
1413,011,Missouri,Barton,1.0
1414,013,Missouri,Bates,1.0
1415,015,Missouri,Benton,1.0
1416,017,Missouri,Bollinger,2.0
1417,019,Missouri,Boone,14.0
1418,021,Missouri,Buchanan,10.0
1419,023,Missouri,Butler,8.0
1420,025,Missouri,Caldwell,
1421,027,Missouri,Callaway,2.0
1422,029,Missouri,Camden,
1423,031,Missouri,Cape Girardeau,12.0
1424,033,Missouri,Carroll,1.0
1425,035,Missouri,Carter,
1426,037,Missouri,Cass,6.0
1427,039,Missouri,Cedar,2.0
1428,041,Missouri,Chariton,2.0
1429,043,Missouri,Christian,2.0
1430,045,Missouri,Clark,
1431,047,Missouri,Clay,19.0
1432,049,Missouri,Clinton,1.0
1433,051,Missouri,Cole,8.0
1434,053,Missouri,Cooper,1.0
1435,055,Missouri,Crawford,2.0
1436,057,Missouri,Dade,
1437,059,Missouri,Dallas,1.0
1438,061,Missouri,Daviess,1.0
1439,065,Missouri,Dent,1.0
1440,067,Missouri,Douglas,2.0
1441,069,Missouri,Dunklin,2.0
1442,071,Missouri,Franklin,10.0
1443,073,Missouri,Gasconade,1.0
1444,075,Missouri,Gentry,1.0
1445,077,Missouri,Greene,25.0
1446,079,Missouri,Grundy,1.0
1447,081,Missouri,Harrison,2.0
1448,083,Missouri,Henry,3.0
1449,085,Missouri,Hickory,
1450,087,Missouri,Holt,
1451,089,Missouri,Howard,
1452,091,Missouri,Howell,5.0
1453,093,Missouri,Iron,3.0
1454,095,Missouri,Jackson,55.0
1455,097,Missouri,Jasper,13.0
1456,099,Missouri,Jefferson,10.0
1457,101,Missouri,Johnson,3.0
1458,103,Missouri,Knox,
1459,105,Missouri,Laclede,2.0
1460,107,Missouri,Lafayette,2.0
1461,109,Missouri,Lawrence,3.0
1462,111,Missouri,Lewis,
1463,113,Missouri,Lincoln,3.0
1464,115,Missouri,Linn,2.0
1465,117,Missouri,Livingston,3.0
1466,121,Missouri,Macon,3.0
1467,123,Missouri,Madison,2.0
1468,125,Missouri,Maries,
1469,127,Missouri,Marion,2.0
1470,129,Missouri,Mercer,1.0
1471,131,Missouri,Miller,5.0
1472,133,Missouri,Mississippi,1.0
1473,135,Missouri,Moniteau,
1474,137,Missouri,Monroe,
1475,139,Missouri,Montgomery,1.0
1476,141,Missouri,Morgan,1.0
1477,143,Missouri,New Madrid,2.0
1478,145,Missouri,Newton,2.0
1479,147,Missouri,Nodaway,2.0
1480,149,Missouri,Oregon,1.0
1481,151,Missouri,Osage,1.0
1482,153,Missouri,Ozark,
1483,155,Missouri,Pemiscot,2.0
1484,157,Missouri,Perry,1.0
1485,159,Missouri,Pettis,3.0
1486,161,Missouri,Phelps,3.0
1487,163,Missouri,Pike,
1488,165,Missouri,Platte,8.0
1489,167,Missouri,Polk,1.0
1490,169,Missouri,Pulaski,
1491,171,Missouri,Putnam,1.0
1492,173,Missouri,Ralls,
1493,175,Missouri,Randolph,2.0
1494,177,Missouri,Ray,1.0
1495,179,Missouri,Reynolds,
1496,181,Missouri,Ripley,1.0
1497,195,Missouri,Saline,2.0
1498,197,Missouri,Schuyler,
1499,199,Missouri,Scotland,
1500,201,Missouri,Scott,3.0
1501,203,Missouri,Shannon,
1502,205,Missouri,Shelby,
1503,207,Missouri,Stoddard,1.0
1504,209,Missouri,Stone,1.0
1505,211,Missouri,Sullivan,
1506,213,Missouri,Taney,4.0
1507,215,Missouri,Texas,3.0
1508,217,Missouri,Vernon,
1509,219,Missouri,Warren,2.0
1510,221,Missouri,Washington,1.0
1511,223,Missouri,Wayne,1.0
1512,225,Missouri,Webster,6.0
1513,227,Missouri,Worth,
1514,229,Missouri,Wright,1.0
1515,001,Montana,Beaverhead,1.0
1516,003,Montana,Big Horn,
1517,005,Montana,Blaine,
1518,007,Montana,Broadwater,
1519,009,Montana,Carbon,
1520,011,Montana,Carter,
1521,013,Montana,Cascade,6.0
1522,015,Montana,Chouteau,
1523,017,Montana,Custer,2.0
1524,019,Montana,Daniels,
1525,021,Montana,Dawson,1.0
1526,023,Montana,Deer Lodge,1.0
1527,025,Montana,Fallon,
1528,027,Montana,Fergus,1.0
1529,029,Montana,Flathead,6.0
1530,031,Montana,Gallatin,5.0
1531,033,Montana,Garfield,
1532,035,Montana,Glacier,1.0
1533,037,Montana,Golden Valley,
1534,039,Montana,Granite,
1535,041,Montana,Hill,
1536,043,Montana,Jefferson,
1537,045,Montana,Judith Basin,
1538,047,Montana,Lake,2.0
1539,049,Montana,Lewis and Clark,5.0
1540,051,Montana,Liberty,
1541,053,Montana,Lincoln,
1542,055,Montana,McCone,
1543,057,Montana,Madison,
1544,059,Montana,Meagher,
1545,061,Montana,Mineral,
1546,063,Montana,Missoula,8.0
1547,065,Montana,Musselshell,
1548,067,Montana,Park,1.0
1549,069,Montana,Petroleum,
1550,071,Montana,Phillips,
1551,073,Montana,Pondera,
1552,075,Montana,Powder River,
1553,077,Montana,Powell,1.0
1554,079,Montana,Prairie,
1555,081,Montana,Ravalli,2.0
1556,083,Montana,Richland,
1557,085,Montana,Roosevelt,
1558,087,Montana,Rosebud,
1559,089,Montana,Sanders,
1560,091,Montana,Sheridan,
1561,093,Montana,Silver Bow,3.0
1562,095,Montana,Stillwater,
1563,097,Montana,Sweet Grass,
1564,099,Montana,Teton,
1565,101,Montana,Toole,
1566,103,Montana,Treasure,
1567,105,Montana,Valley,
1568,107,Montana,Wheatland,
1569,109,Montana,Wibaux,
1570,111,Montana,Yellowstone,16.0
1571,001,Nebraska,Adams,2.0
1572,003,Nebraska,Antelope,
1573,005,Nebraska,Arthur,
1574,007,Nebraska,Banner,
1575,009,Nebraska,Blaine,
1576,011,Nebraska,Boone,
1577,013,Nebraska,Box Butte,1.0
1578,015,Nebraska,Boyd,
1579,017,Nebraska,Brown,
1580,019,Nebraska,Buffalo,3.0
1581,021,Nebraska,Burt,
1582,023,Nebraska,Butler,
1583,025,Nebraska,Cass,1.0
1584,027,Nebraska,Cedar,
1585,029,Nebraska,Chase,1.0
1586,031,Nebraska,Cherry,
1587,033,Nebraska,Cheyenne,1.0
1588,035,Nebraska,Clay,
1589,037,Nebraska,Colfax,
1590,039,Nebraska,Cuming,1.0
1591,041,Nebraska,Custer,
1592,043,Nebraska,Dakota,2.0
1593,045,Nebraska,Dawes,2.0
1594,047,Nebraska,Dawson,2.0
1595,049,Nebraska,Deuel,
1596,051,Nebraska,Dixon,
1597,053,Nebraska,Dodge,4.0
1598,055,Nebraska,Douglas,39.0
1599,057,Nebraska,Dundy,
1600,059,Nebraska,Fillmore,
1601,061,Nebraska,Franklin,
1602,063,Nebraska,Frontier,
1603,065,Nebraska,Furnas,
1604,067,Nebraska,Gage,1.0
1605,069,Nebraska,Garden,
1606,071,Nebraska,Garfield,
1607,073,Nebraska,Gosper,
1608,075,Nebraska,Grant,
1609,077,Nebraska,Greeley,
1610,079,Nebraska,Hall,1.0
1611,081,Nebraska,Hamilton,1.0
1612,083,Nebraska,Harlan,
1613,085,Nebraska,Hayes,
1614,087,Nebraska,Hitchcock,
1615,089,Nebraska,Holt,1.0
1616,091,Nebraska,Hooker,
1617,093,Nebraska,Howard,
1618,095,Nebraska,Jefferson,1.0
1619,097,Nebraska,Johnson,
1620,099,Nebraska,Kearney,
1621,101,Nebraska,Keith,2.0
1622,103,Nebraska,Keya Paha,
1623,105,Nebraska,Kimball,
1624,107,Nebraska,Knox,1.0
1625,109,Nebraska,Lancaster,23.0
1626,111,Nebraska,Lincoln,2.0
1627,113,Nebraska,Logan,
1628,115,Nebraska,Loup,
1629,117,Nebraska,McPherson,
1630,119,Nebraska,Madison,4.0
1631,121,Nebraska,Merrick,
1632,123,Nebraska,Morrill,
1633,125,Nebraska,Nance,
1634,127,Nebraska,Nemaha,
1635,129,Nebraska,Nuckolls,1.0
1636,131,Nebraska,Otoe,2.0
1637,133,Nebraska,Pawnee,
1638,135,Nebraska,Perkins,
1639,137,Nebraska,Phelps,
1640,139,Nebraska,Pierce,
1641,141,Nebraska,Platte,3.0
1642,143,Nebraska,Polk,1.0
1643,145,Nebraska,Red Willow,1.0
1644,147,Nebraska,Richardson,
1645,149,Nebraska,Rock,
1646,151,Nebraska,Saline,1.0
1647,153,Nebraska,Sarpy,10.0
1648,155,Nebraska,Saunders,1.0
1649,157,Nebraska,Scotts Bluff,2.0
1650,159,Nebraska,Seward,
1651,161,Nebraska,Sheridan,
1652,163,Nebraska,Sherman,1.0
1653,165,Nebraska,Sioux,
1654,167,Nebraska,Stanton,
1655,169,Nebraska,Thayer,
1656,171,Nebraska,Thomas,
1657,173,Nebraska,Thurston,
1658,175,Nebraska,Valley,1.0
1659,177,Nebraska,Washington,2.0
1660,179,Nebraska,Wayne,
1661,181,Nebraska,Webster,
1662,183,Nebraska,Wheeler,
1663,185,Nebraska,York,2.0
1664,001,Nevada,Churchill,3.0
1665,003,Nevada,Clark,243.0
1666,005,Nevada,Douglas,5.0
1667,007,Nevada,Elko,4.0
1668,009,Nevada,Esmeralda,
1669,011,Nevada,Eureka,
1670,013,Nevada,Humboldt,1.0
1671,015,Nevada,Lander,
1672,017,Nevada,Lincoln,
1673,019,Nevada,Lyon,4.0
1674,021,Nevada,Mineral,1.0
1675,023,Nevada,Nye,5.0
1676,027,Nevada,Pershing,
1677,029,Nevada,Storey,
1678,031,Nevada,Washoe,38.0
1679,033,Nevada,White Pine,1.0
1680,510,Nevada,Carson City,
1681,001,New Hampshire,Belknap,2.0
1682,003,New Hampshire,Carroll,4.0
1683,005,New Hampshire,Cheshire,4.0
1684,007,New Hampshire,Coos,
1685,009,New Hampshire,Grafton,10.0
1686,011,New Hampshire,Hillsborough,48.0
1687,013,New Hampshire,Merrimack,13.0
1688,015,New Hampshire,Rockingham,26.0
1689,017,New Hampshire,Strafford,5.0
1690,019,New Hampshire,Sullivan,1.0
1691,001,New Jersey,Atlantic,28.0
1692,003,New Jersey,Bergen,75.0
1693,005,New Jersey,Burlington,51.0
1694,007,New Jersey,Camden,72.0
1695,009,New Jersey,Cape May,18.0
1696,011,New Jersey,Cumberland,19.0
1697,013,New Jersey,Essex,48.0
1698,015,New Jersey,Gloucester,42.0
1699,017,New Jersey,Hudson,43.0
1700,019,New Jersey,Hunterdon,10.0
1701,021,New Jersey,Mercer,33.0
1702,023,New Jersey,Middlesex,87.0
1703,025,New Jersey,Monmouth,65.0
1704,027,New Jersey,Morris,45.0
1705,029,New Jersey,Ocean,58.0
1706,031,New Jersey,Passaic,27.0
1707,033,New Jersey,Salem,7.0
1708,035,New Jersey,Somerset,38.0
1709,037,New Jersey,Sussex,9.0
1710,039,New Jersey,Union,53.0
1711,041,New Jersey,Warren,12.0
1712,001,New Mexico,Bernalillo,63.0
1713,003,New Mexico,Catron,
1714,005,New Mexico,Chaves,6.0
1715,006,New Mexico,Cibola,1.0
1716,007,New Mexico,Colfax,
1717,009,New Mexico,Curry,2.0
1718,011,New Mexico,De Baca,
1719,015,New Mexico,Eddy,5.0
1720,017,New Mexico,Grant,3.0
1721,019,New Mexico,Guadalupe,
1722,021,New Mexico,Harding,
1723,023,New Mexico,Hidalgo,
1724,025,New Mexico,Lea,4.0
1725,027,New Mexico,Lincoln,3.0
1726,028,New Mexico,Los Alamos,2.0
1727,029,New Mexico,Luna,1.0
1728,033,New Mexico,Mora,
1729,035,New Mexico,Otero,4.0
1730,037,New Mexico,Quay,
1731,039,New Mexico,Rio Arriba,2.0
1732,041,New Mexico,Roosevelt,1.0
1733,043,New Mexico,Sandoval,11.0
1734,045,New Mexico,San Juan,8.0
1735,047,New Mexico,San Miguel,1.0
1736,049,New Mexico,Santa Fe,16.0
1737,051,New Mexico,Sierra,1.0
1738,053,New Mexico,Socorro,1.0
1739,055,New Mexico,Taos,3.0
1740,057,New Mexico,Torrance,
1741,059,New Mexico,Union,
1742,061,New Mexico,Valencia,2.0
1743,001,New York,Albany,36.0
1744,003,New York,Allegany,2.0
1745,005,New York,Bronx,71.0
1746,007,New York,Broome,23.0
1747,009,New York,Cattaraugus,5.0
1748,011,New York,Cayuga,2.0
1749,013,New York,Chautauqua,12.0
1750,015,New York,Chemung,7.0
1751,017,New York,Chenango,2.0
1752,019,New York,Clinton,3.0
1753,021,New York,Columbia,4.0
1754,023,New York,Cortland,5.0
1755,025,New York,Delaware,4.0
1756,027,New York,Dutchess,24.0
1757,029,New York,Erie,91.0
1758,031,New York,Essex,1.0
1759,033,New York,Franklin,2.0
1760,035,New York,Fulton,4.0
1761,037,New York,Genesee,5.0
1762,039,New York,Greene,2.0
1763,041,New York,Hamilton,
1764,043,New York,Herkimer,2.0
1765,045,New York,Jefferson,4.0
1766,047,New York,Kings,113.0
1767,049,New York,Lewis,
1768,051,New York,Livingston,4.0
1769,053,New York,Madison,4.0
1770,055,New York,Monroe,53.0
1771,057,New York,Montgomery,5.0
1772,059,New York,Nassau,107.0
1773,063,New York,Niagara,21.0
1774,065,New York,Oneida,20.0
1775,067,New York,Onondaga,33.0
1776,069,New York,Ontario,7.0
1777,071,New York,Orange,29.0
1778,073,New York,Orleans,3.0
1779,075,New York,Oswego,5.0
1780,077,New York,Otsego,4.0
1781,079,New York,Putnam,8.0
1782,081,New York,Queens,98.0
1783,083,New York,Rensselaer,15.0
1784,085,New York,Richmond,43.0
1785,087,New York,Rockland,20.0
1786,091,New York,Saratoga,21.0
1787,093,New York,Schenectady,16.0
1788,095,New York,Schoharie,3.0
1789,097,New York,Schuyler,1.0
1790,099,New York,Seneca,1.0
1791,101,New York,Steuben,6.0
1792,103,New York,Suffolk,100.0
1793,105,New York,Sullivan,4.0
1794,107,New York,Tioga,2.0
1795,109,New York,Tompkins,2.0
1796,111,New York,Ulster,12.0
1797,113,New York,Warren,16.0
1798,115,New York,Washington,6.0
1799,117,New York,Wayne,8.0
1800,119,New York,Westchester,73.0
1801,121,New York,Wyoming,
1802,123,New York,Yates,3.0
1803,001,North Carolina,Alamance,14.0
1804,003,North Carolina,Alexander,1.0
1805,005,North Carolina,Alleghany,1.0
1806,007,North Carolina,Anson,1.0
1807,009,North Carolina,Ashe,4.0
1808,011,North Carolina,Avery,3.0
1809,013,North Carolina,Beaufort,4.0
1810,015,North Carolina,Bertie,
1811,017,North Carolina,Bladen,2.0
1812,019,North Carolina,Brunswick,15.0
1813,021,North Carolina,Buncombe,44.0
1814,023,North Carolina,Burke,6.0
1815,025,North Carolina,Cabarrus,21.0
1816,027,North Carolina,Caldwell,8.0
1817,029,North Carolina,Camden,
1818,031,North Carolina,Carteret,9.0
1819,033,North Carolina,Caswell,
1820,035,North Carolina,Catawba,16.0
1821,037,North Carolina,Chatham,5.0
1822,039,North Carolina,Cherokee,4.0
1823,041,North Carolina,Chowan,2.0
1824,043,North Carolina,Clay,3.0
1825,045,North Carolina,Cleveland,11.0
1826,047,North Carolina,Columbus,3.0
1827,049,North Carolina,Craven,8.0
1828,051,North Carolina,Cumberland,23.0
1829,053,North Carolina,Currituck,
1830,055,North Carolina,Dare,8.0
1831,057,North Carolina,Davidson,11.0
1832,059,North Carolina,Davie,3.0
1833,061,North Carolina,Duplin,4.0
1834,063,North Carolina,Durham,35.0
1835,065,North Carolina,Edgecombe,1.0
1836,067,North Carolina,Forsyth,34.0
1837,069,North Carolina,Franklin,4.0
1838,071,North Carolina,Gaston,24.0
1839,073,North Carolina,Gates,
1840,075,North Carolina,Graham,1.0
1841,077,North Carolina,Granville,4.0
1842,079,North Carolina,Greene,1.0
1843,081,North Carolina,Guilford,55.0
1844,083,North Carolina,Halifax,3.0
1845,085,North Carolina,Harnett,7.0
1846,087,North Carolina,Haywood,8.0
1847,089,North Carolina,Henderson,24.0
1848,091,North Carolina,Hertford,3.0
1849,093,North Carolina,Hoke,1.0
1850,095,North Carolina,Hyde,
1851,097,North Carolina,Iredell,15.0
1852,099,North Carolina,Jackson,3.0
1853,101,North Carolina,Johnston,11.0
1854,103,North Carolina,Jones,1.0
1855,105,North Carolina,Lee,6.0
1856,107,North Carolina,Lenoir,2.0
1857,109,North Carolina,Lincoln,7.0
1858,111,North Carolina,McDowell,3.0
1859,113,North Carolina,Macon,4.0
1860,115,North Carolina,Madison,3.0
1861,117,North Carolina,Martin,1.0
1862,119,North Carolina,Mecklenburg,101.0
1863,121,North Carolina,Mitchell,5.0
1864,123,North Carolina,Montgomery,1.0
1865,125,North Carolina,Moore,8.0
1866,127,North Carolina,Nash,8.0
1867,129,North Carolina,New Hanover,28.0
1868,131,North Carolina,Northampton,
1869,133,North Carolina,Onslow,10.0
1870,135,North Carolina,Orange,11.0
1871,137,North Carolina,Pamlico,1.0
1872,139,North Carolina,Pasquotank,2.0
1873,141,North Carolina,Pender,7.0
1874,143,North Carolina,Perquimans,
1875,145,North Carolina,Person,2.0
1876,147,North Carolina,Pitt,17.0
1877,149,North Carolina,Polk,2.0
1878,151,North Carolina,Randolph,8.0
1879,153,North Carolina,Richmond,2.0
1880,155,North Carolina,Robeson,7.0
1881,157,North Carolina,Rockingham,6.0
1882,159,North Carolina,Rowan,8.0
1883,161,North Carolina,Rutherford,6.0
1884,163,North Carolina,Sampson,3.0
1885,165,North Carolina,Scotland,3.0
1886,167,North Carolina,Stanly,7.0
1887,169,North Carolina,Stokes,3.0
1888,171,North Carolina,Surry,8.0
1889,173,North Carolina,Swain,3.0
1890,175,North Carolina,Transylvania,5.0
1891,177,North Carolina,Tyrrell,
1892,179,North Carolina,Union,23.0
1893,181,North Carolina,Vance,3.0
1894,183,North Carolina,Wake,118.0
1895,185,North Carolina,Warren,1.0
1896,187,North Carolina,Washington,1.0
1897,189,North Carolina,Watauga,4.0
1898,191,North Carolina,Wayne,4.0
1899,193,North Carolina,Wilkes,6.0
1900,195,North Carolina,Wilson,6.0
1901,197,North Carolina,Yadkin,2.0
1902,199,North Carolina,Yancey,4.0
1903,001,North Dakota,Adams,3.0
1904,003,North Dakota,Barnes,4.0
1905,005,North Dakota,Benson,1.0
1906,007,North Dakota,Billings,1.0
1907,009,North Dakota,Bottineau,2.0
1908,011,North Dakota,Bowman,3.0
1909,013,North Dakota,Burke,2.0
1910,015,North Dakota,Burleigh,29.0
1911,017,North Dakota,Cass,30.0
1912,019,North Dakota,Cavalier,1.0
1913,021,North Dakota,Dickey,2.0
1914,023,North Dakota,Divide,1.0
1915,025,North Dakota,Dunn,
1916,027,North Dakota,Eddy,
1917,029,North Dakota,Emmons,2.0
1918,031,North Dakota,Foster,4.0
1919,033,North Dakota,Golden Valley,2.0
1920,035,North Dakota,Grand Forks,6.0
1921,037,North Dakota,Grant,3.0
1922,039,North Dakota,Griggs,1.0
1923,041,North Dakota,Hettinger,3.0
1924,043,North Dakota,Kidder,1.0
1925,047,North Dakota,Logan,
1926,049,North Dakota,McHenry,3.0
1927,051,North Dakota,McIntosh,2.0
1928,057,North Dakota,Mercer,3.0
1929,059,North Dakota,Morton,3.0
1930,061,North Dakota,Mountrail,2.0
1931,063,North Dakota,Nelson,1.0
1932,065,North Dakota,Oliver,1.0
1933,067,North Dakota,Pembina,4.0
1934,069,North Dakota,Pierce,2.0
1935,071,North Dakota,Ramsey,3.0
1936,073,North Dakota,Ransom,5.0
1937,075,North Dakota,Renville,2.0
1938,077,North Dakota,Richland,7.0
1939,079,North Dakota,Rolette,3.0
1940,081,North Dakota,Sargent,1.0
1941,083,North Dakota,Sheridan,2.0
1942,085,North Dakota,Sioux,
1943,087,North Dakota,Slope,
