COUNTY,STNAME,CTYNAME,STATE,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021
33,Idaho,Clark County,16,22320,792,792
35,Idaho,Clearwater County,16,8756,8750,8895
37,Idaho,Custer County,16,5068,4266,4428
39,Idaho,Elmore County,16,81209,28668,28827
41,Idaho,Franklin County,16,31362,14269,14666
43,Idaho,Fremont County,16,47839,13404,13592
45,Idaho,Gem County,16,18112,19258,19792
47,Idaho,Gooding County,16,15179,15643,15772
49,Idaho,Idaho County,16,16667,16561,17040
51,Idaho,Jefferson County,16,658573,31055,32202
53,Idaho,Jerome County,16,24412,24222,24662
55,Idaho,Kootenai County,16,165697,172646,179789
57,Idaho,Latah County,16,40108,39611,40313
59,Idaho,Lemhi County,16,8027,7948,8162
61,Idaho,Lewis County,16,3838,3531,3715
63,Idaho,Lincoln County,16,13024,5133,5282
65,Idaho,Madison County,16,372909,52876,53881
67,Idaho,Minidoka County,16,21039,21674,21955
69,Idaho,Nez Perce County,16,40408,42088,42454
71,Idaho,Oneida County,16,4531,4554,4611
73,Idaho,Owyhee County,16,11823,11978,12336
75,Idaho,Payette County,16,23951,25589,26350
77,Idaho,Power County,16,7681,7879,7950
79,Idaho,Shoshone County,16,12882,13189,13612
81,Idaho,Teton County,16,12142,11731,12267
83,Idaho,Twin Falls County,16,86878,90279,92243
85,Idaho,Valley County,16,11392,11838,12241
87,Idaho,Washington County,16,16326,10544,10898
1,Illinois,Adams County,17,517421,65530,64954
3,Illinois,Alexander County,17,5761,5168,5030
5,Illinois,Bond County,17,16426,16663,16596
7,Illinois,Boone County,17,37432,53326,53159
9,Illinois,Brown County,17,6578,6217,6421
11,Illinois,Bureau County,17,32628,33118,32883
13,Illinois,Calhoun County,17,113605,4411,4369
15,Illinois,Carroll County,17,28380,15664,15698
17,Illinois,Cass County,17,12147,12956,12773
19,Illinois,Champaign County,17,209689,205469,205943
21,Illinois,Christian County,17,32304,33900,33662
23,Illinois,Clark County,17,22320,15407,15300
25,Illinois,Clay County,17,13235,13267,13143
27,Illinois,Clinton County,17,37562,36896,36793
29,Illinois,Coles County,17,50621,46737,46765
31,Illinois,Cook County,17,17270,5262741,5173146
33,Illinois,Crawford County,17,63257,18639,18659
35,Illinois,Cumberland County,17,10766,10428,10345
37,Illinois,DeKalb County,17,71513,100233,100414
39,Illinois,De Witt County,17,15638,15441,15341
41,Illinois,Douglas County,17,351154,19742,19722
43,Illinois,DuPage County,17,922921,931153,924885
45,Illinois,Edgar County,17,17161,16755,16520
47,Illinois,Edwards County,17,6395,6205,6075
49,Illinois,Effingham County,17,64296,34614,34430
51,Illinois,Fayette County,17,16302,21460,21384
53,Illinois,Ford County,17,12961,13533,13511
55,Illinois,Franklin County,17,31362,37636,37442
57,Illinois,Fulton County,17,12477,33440,33197
59,Illinois,Gallatin County,17,4828,4947,4903
61,Illinois,Greene County,17,8111,11915,11843
63,Illinois,Grundy County,17,51054,52514,52989
65,Illinois,Hamilton County,17,14428,7977,7911
67,Illinois,Hancock County,17,8457,17552,17400
69,Illinois,Hardin County,17,3821,3634,3650
71,Illinois,Henderson County,17,6646,6339,6312
73,Illinois,Henry County,17,17205,49138,48907
75,Illinois,Iroquois County,17,27114,26984,26827
77,Illinois,Jackson County,17,51626,52896,52565
79,Illinois,Jasper County,17,14219,9247,9193
81,Illinois,Jefferson County,17,658573,37029,36877
83,Illinois,Jersey County,17,21773,21444,21333
85,Illinois,Jo Daviess County,17,21235,22035,21939
87,Illinois,Johnson County,17,26578,13307,13463
89,Illinois,Kane County,17,532403,516155,515588
91,Illinois,Kankakee County,17,109862,107236,106601
93,Illinois,Kendall County,17,128990,132291,134867
95,Illinois,Knox County,17,49699,49736,49268
97,Illinois,Lake County,17,64386,713217,711239
99,Illinois,LaSalle County,17,108669,109359,108965
101,Illinois,Lawrence County,17,32924,15234,15152
103,Illinois,Lee County,17,164542,34021,34049
105,Illinois,Livingston County,17,35648,35752,35664
107,Illinois,Logan County,17,21466,27879,27992
109,Illinois,McDonough County,17,29682,27079,26828
111,Illinois,McHenry County,17,307774,309770,311122
113,Illinois,McLean County,17,171517,170870,170889
115,Illinois,Macon County,17,18068,103647,102432
117,Illinois,Macoupin County,17,44926,44810,44406
119,Illinois,Madison County,17,372909,265498,264490
121,Illinois,Marion County,17,29709,37613,37390
123,Illinois,Marshall County,17,96774,11691,11663
125,Illinois,Mason County,17,13359,13026,12881
127,Illinois,Massac County,17,13772,14125,13960
129,Illinois,Menard County,17,12196,12265,12164
131,Illinois,Mercer County,17,15437,15633,15582
133,Illinois,Monroe County,17,20733,34898,34932
135,Illinois,Montgomery County,17,226486,28157,28084
137,Illinois,Morgan County,17,119679,32798,32606
139,Illinois,Moultrie County,17,14501,14486,14510
141,Illinois,Ogle County,17,50643,51678,51449
143,Illinois,Peoria County,17,179179,181225,179432
145,Illinois,Perry County,17,8923,20880,20985
147,Illinois,Piatt County,17,16344,16654,16753
149,Illinois,Pike County,17,33114,14633,14618
151,Illinois,Pope County,17,64072,3744,3779
153,Illinois,Pulaski County,17,391911,5161,5065
155,Illinois,Putnam County,17,74521,5635,5566
157,Illinois,Randolph County,17,22722,30055,30142
159,Illinois,Richland County,17,15513,15803,15796
161,Illinois,Rock Island County,17,141879,144267,142909
163,Illinois,St. Clair County,17,89512,256789,254796
165,Illinois,Saline County,17,122437,23634,23320
167,Illinois,Sangamon County,17,194672,196012,194734
169,Illinois,Schuyler County,17,6768,6875,6843
171,Illinois,Scott County,17,10281,4927,4836
173,Illinois,Shelby County,17,217702,20900,20789
175,Illinois,Stark County,17,5342,5391,5294
177,Illinois,Stephenson County,17,44498,44457,44021
179,Illinois,Tazewell County,17,131803,131018,130413
181,Illinois,Union County,17,38682,17179,16923
183,Illinois,Vermilion County,17,75758,73883,73095
185,Illinois,Wabash County,17,11520,11316,11202
187,Illinois,Warren County,17,5254,16777,16531
189,Illinois,Washington County,17,16326,13711,13655
191,Illinois,Wayne County,17,29927,16121,15963
193,Illinois,White County,17,78753,13808,13784
195,Illinois,Whiteside County,17,55175,55509,55305
197,Illinois,Will County,17,690743,695903,697252
199,Illinois,Williamson County,17,66597,67094,66879
201,Illinois,Winnebago County,17,282572,284858,283119
203,Illinois,Woodford County,17,38459,38395,38225
1,Indiana,Adams County,18,517421,35826,35961
3,Indiana,Allen County,18,379299,385892,388608
5,Indiana,Bartholomew County,18,83779,82157,82475
7,Indiana,Benton County,18,279141,8712,8714
9,Indiana,Blackford County,18,11758,12098,12091
11,Indiana,Boone County,18,37432,71169,73052
13,Indiana,Brown County,18,6578,15470,15552
15,Indiana,Carroll County,18,28380,20307,20444
17,Indiana,Cass County,18,12147,37771,37563
19,Indiana,Clark County,18,22320,121282,122738
21,Indiana,Clay County,18,13235,26432,26410
23,Indiana,Clinton County,18,37562,33151,33065
25,Indiana,Crawford County,18,63257,10540,10514
27,Indiana,Daviess County,18,33351,33391,33397
29,Indiana,Dearborn County,18,49458,50726,50816
31,Indiana,Decatur County,18,26404,26477,26320
33,Indiana,DeKalb County,18,71513,43274,43333
35,Indiana,Delaware County,18,114135,111669,111871
37,Indiana,Dubois County,18,42736,43604,43549
39,Indiana,Elkhart County,18,206341,206842,206921
41,Indiana,Fayette County,18,16302,23333,23360
43,Indiana,Floyd County,18,98498,80437,80454
45,Indiana,Fountain County,18,16346,16470,16427
47,Indiana,Franklin County,18,31362,22767,22842
49,Indiana,Fulton County,18,12477,20434,20386
51,Indiana,Gibson County,18,33659,33021,32924
53,Indiana,Grant County,18,18265,66446,66263
55,Indiana,Greene County,18,8111,30790,30786
57,Indiana,Hamilton County,18,14428,348868,356650
59,Indiana,Hancock County,18,8457,80156,81789
61,Indiana,Harrison County,18,40515,39652,39761
63,Indiana,Hendricks County,18,170311,175528,179355
65,Indiana,Henry County,18,17205,48885,48935
67,Indiana,Howard County,18,13202,83619,83687
69,Indiana,Huntington County,18,36520,36599,36717
71,Indiana,Jackson County,18,51626,46373,46067
73,Indiana,Jasper County,18,14219,32906,33091
75,Indiana,Jay County,18,20436,20456,20248
77,Indiana,Jefferson County,18,658573,33075,33141
79,Indiana,Jennings County,18,27735,27564,27409
81,Indiana,Johnson County,18,26578,162180,164298
83,Indiana,Knox County,18,49699,36244,35956
85,Indiana,Kosciusko County,18,79456,80050,80106
87,Indiana,LaGrange County,18,39614,40515,40524
89,Indiana,Lake County,18,64386,498597,498558
91,Indiana,LaPorte County,18,109888,112222,112390
93,Indiana,Lawrence County,18,32924,45022,45070
95,Indiana,Madison County,18,372909,130065,130782
97,Indiana,Marion County,18,29709,976770,971102
99,Indiana,Marshall County,18,96774,46018,46121
101,Indiana,Martin County,18,161000,9786,9780
103,Indiana,Miami County,18,35516,35924,36081
105,Indiana,Monroe County,18,20733,139517,139875
107,Indiana,Montgomery County,18,226486,37932,38063
109,Indiana,Morgan County,18,119679,71802,72206
111,Indiana,Newton County,18,7753,13796,13808
113,Indiana,Noble County,18,47744,47379,47227
115,Indiana,Ohio County,18,5875,5930,5978
117,Indiana,Orange County,18,3175692,19839,19830
119,Indiana,Owen County,18,20799,21298,21446
121,Indiana,Parke County,18,16937,16154,16407
123,Indiana,Perry County,18,8923,19150,19316
125,Indiana,Pike County,18,33114,12233,12144
127,Indiana,Porter County,18,170389,173256,174243
129,Indiana,Posey County,18,25427,25161,25116
131,Indiana,Pulaski County,18,391911,12488,12339
133,Indiana,Putnam County,18,74521,36666,36979
135,Indiana,Randolph County,18,22722,24375,24387
137,Indiana,Ripley County,18,28324,28980,29081
139,Indiana,Rush County,18,16581,16744,16672
141,Indiana,St. Joseph County,18,271826,272549,272212
143,Indiana,Scott County,18,10281,24336,24355
145,Indiana,Shelby County,18,217702,45026,45039
147,Indiana,Spencer County,18,20277,19820,19798
149,Indiana,Starke County,18,22995,23356,23372
151,Indiana,Steuben County,18,34594,34440,34632
153,Indiana,Sullivan County,18,20669,20803,20758
155,Indiana,Switzerland County,18,10751,9724,9790
157,Indiana,Tippecanoe County,18,195732,186247,187076
159,Indiana,Tipton County,18,15148,15365,15372
161,Indiana,Union County,18,38682,7090,7047
163,Indiana,Vanderburgh County,18,181451,180158,179987
165,Indiana,Vermillion County,18,15498,15388,15341
167,Indiana,Vigo County,18,107038,106007,105994
169,Indiana,Wabash County,18,11520,30888,30816
171,Indiana,Warren County,18,5254,8413,8475
173,Indiana,Warrick County,18,62998,63966,64514
175,Indiana,Washington County,18,16326,28220,28102
177,Indiana,Wayne County,18,29927,66455,66456
179,Indiana,Wells County,18,28296,28179,28197
181,Indiana,White County,18,78753,24636,24651
183,Indiana,Whitley County,18,33964,34316,34430
1,Iowa,Adair County,19,7152,7477,7541
3,Iowa,Adams County,19,517421,3697,3641
5,Iowa,Allamakee County,19,13687,14067,13926
7,Iowa,Appanoose County,19,12426,12282,12257
9,Iowa,Audubon County,19,5496,5671,5635
11,Iowa,Benton County,19,279141,25536,25691
13,Iowa,Black Hawk County,19,131228,130980,130368
15,Iowa,Boone County,19,37432,26691,26723
17,Iowa,Bremer County,19,25062,24974,25081
19,Iowa,Buchanan County,19,21175,20586,20657
21,Iowa,Buena Vista County,19,19620,20776,20771
23,Iowa,Butler County,19,19448,14311,14332
25,Iowa,Calhoun County,19,113605,9886,9915
27,Iowa,Carroll County,19,28380,20702,20692
29,Iowa,Cass County,19,12147,13104,13050
31,Iowa,Cedar County,19,18627,18495,18410
33,Iowa,Cerro Gordo County,19,42450,42965,42706
35,Iowa,Cherokee County,19,26196,11632,11503
37,Iowa,Chickasaw County,19,11933,11970,11887
39,Iowa,Clarke County,19,23622,9726,9785
41,Iowa,Clay County,19,13235,16333,16440
43,Iowa,Clayton County,19,292256,16996,16998
45,Iowa,Clinton County,19,37562,46418,46463
47,Iowa,Crawford County,19,63257,16453,16193
49,Iowa,Dallas County,19,37196,100486,103796
51,Iowa,Davis County,19,9000,9109,9138
53,Iowa,Decatur County,19,26404,7610,7659
55,Iowa,Delaware County,19,114135,17458,17510
57,Iowa,Des Moines County,19,38967,38831,38491
59,Iowa,Dickinson County,19,17258,17747,17851
61,Iowa,Dubuque County,19,97311,99229,98718
63,Iowa,Emmet County,19,9208,9332,9321
65,Iowa,Fayette County,19,16302,19399,19258
67,Iowa,Floyd County,19,98498,15552,15413
69,Iowa,Franklin County,19,31362,9983,9952
71,Iowa,Fremont County,19,47839,6560,6567
73,Iowa,Greene County,19,8111,8746,8717
75,Iowa,Grundy County,19,51054,12312,12347
77,Iowa,Guthrie County,19,10689,10612,10567
79,Iowa,Hamilton County,19,14428,15020,14887
81,Iowa,Hancock County,19,8457,10757,10663
83,Iowa,Hardin County,19,3821,16821,16708
85,Iowa,Harrison County,19,40515,14546,14669
87,Iowa,Henry County,19,17205,20412,20387
89,Iowa,Howard County,19,13202,9487,9478
91,Iowa,Humboldt County,19,135558,9595,9634
93,Iowa,Ida County,19,6860,7007,6956
95,Iowa,Iowa County,19,16184,16679,16568
97,Iowa,Jackson County,19,51626,19437,19368
99,Iowa,Jasper County,19,14219,37802,37764
101,Iowa,Jefferson County,19,658573,15659,15647
103,Iowa,Johnson County,19,26578,152984,154748
105,Iowa,Jones County,19,28735,20647,20805
107,Iowa,Keokuk County,19,10246,9995,9914
109,Iowa,Kossuth County,19,14813,14786,14529
111,Iowa,Lee County,19,164542,33512,33215
113,Iowa,Linn County,19,226706,230263,228939
115,Iowa,Louisa County,19,11035,10806,10749
117,Iowa,Lucas County,19,8600,8615,8710
119,Iowa,Lyon County,19,11755,11917,12011
121,Iowa,Madison County,19,372909,16626,16773
123,Iowa,Mahaska County,19,22095,22148,21984
125,Iowa,Marion County,19,29709,33377,33380
127,Iowa,Marshall County,19,96774,40059,39853
129,Iowa,Mills County,19,15109,14405,14465
131,Iowa,Mitchell County,19,21863,10582,10555
133,Iowa,Monona County,19,8615,8742,8574
135,Iowa,Monroe County,19,20733,7582,7610
137,Iowa,Montgomery County,19,226486,10335,10322
139,Iowa,Muscatine County,19,42664,43113,42688
141,Iowa,O'Brien County,19,13753,14154,14015
143,Iowa,Osceola County,19,375751,6189,6159
145,Iowa,Page County,19,15107,15180,15197
147,Iowa,Palo Alto County,19,8886,8961,8906
149,Iowa,Plymouth County,19,25177,25681,25650
151,Iowa,Pocahontas County,19,6619,7075,7074
153,Iowa,Polk County,19,19964,492769,496844
155,Iowa,Pottawattamie County,19,93206,93560,93304
157,Iowa,Poweshiek County,19,18504,18643,18586
159,Iowa,Ringgold County,19,4894,4639,4639
161,Iowa,Sac County,19,9721,9791,9752
163,Iowa,Scott County,19,10281,174488,174170
165,Iowa,Shelby County,19,217702,11699,11770
167,Iowa,Sioux County,19,34855,35869,35893
169,Iowa,Story County,19,97117,98615,99472
171,Iowa,Tama County,19,16854,17072,16867
173,Iowa,Taylor County,19,21569,5861,5868
175,Iowa,Union County,19,38682,12097,12018
177,Iowa,Van Buren County,19,16545,7204,7243
179,Iowa,Wapello County,19,34969,35341,35256
181,Iowa,Warren County,19,5254,52548,53402
183,Iowa,Washington County,19,16326,22511,22491
185,Iowa,Wayne County,19,29927,6509,6508
187,Iowa,Webster County,19,2607,36954,37147
189,Iowa,Winnebago County,19,282572,10650,10656
191,Iowa,Winneshiek County,19,19991,20031,19892
193,Iowa,Woodbury County,19,103107,105829,105607
195,Iowa,Worth County,19,20247,7425,7385
197,Iowa,Wright County,19,12562,12914,12785
1,Kansas,Allen County,20,379299,12537,12464
3,Kansas,Anderson County,20,7858,7850,7778
5,Kansas,Atchison County,20,16073,16305,16239
7,Kansas,Barber County,20,4427,4198,4110
9,Kansas,Barton County,20,25779,25419,25216
11,Kansas,Bourbon County,20,14534,14333,14323
13,Kansas,Brown County,20,6578,9473,9455
15,Kansas,Butler County,20,19448,67401,67889
17,Kansas,Chase County,20,2648,2564,2598
19,Kansas,Chautauqua County,20,3250,3386,3395
21,Kansas,Cherokee County,20,26196,19275,19130
23,Kansas,Cheyenne County,20,1831,2620,2633
25,Kansas,Clark County,20,22320,1973,1977
27,Kansas,Clay County,20,13235,8112,8077
29,Kansas,Cloud County,20,8786,8988,8928
31,Kansas,Coffey County,20,8179,8370,8338
33,Kansas,Comanche County,20,1700,1681,1670
35,Kansas,Cowley County,20,34908,34498,34496
37,Kansas,Crawford County,20,63257,38930,39110
39,Kansas,Decatur County,20,26404,2749,2751
41,Kansas,Dickinson County,20,17258,18353,18459
43,Kansas,Doniphan County,20,7600,7469,7471
45,Kansas,Douglas County,20,351154,118814,119363
47,Kansas,Edwards County,20,6395,2898,2832
49,Kansas,Elk County,20,2530,2475,2441
51,Kansas,Ellis County,20,28553,28931,28790
53,Kansas,Ellsworth County,20,6102,6354,6336
55,Kansas,Finney County,20,36467,38297,38107
57,Kansas,Ford County,20,12961,34206,34159
59,Kansas,Franklin County,20,31362,26028,25986
61,Kansas,Geary County,20,31670,36747,35934
63,Kansas,Gove County,20,2636,2694,2755
65,Kansas,Graham County,20,38837,2405,2400
67,Kansas,Grant County,20,18265,7327,7324
69,Kansas,Gray County,20,5988,5633,5644
71,Kansas,Greeley County,20,1232,1277,1304
73,Kansas,Greenwood County,20,5982,5972,5939
75,Kansas,Hamilton County,20,14428,2494,2484
77,Kansas,Harper County,20,5436,5461,5331
79,Kansas,Harvey County,20,34429,33942,33817
81,Kansas,Haskell County,20,3968,3756,3668
83,Kansas,Hodgeman County,20,1794,1718,1710
85,Kansas,Jackson County,20,51626,13230,13261
87,Kansas,Jefferson County,20,658573,18300,18411
89,Kansas,Jewell County,20,2879,2926,2937
91,Kansas,Johnson County,20,26578,610536,613219
93,Kansas,Kearny County,20,3838,3971,3891
95,Kansas,Kingman County,20,7152,7446,7392
97,Kansas,Kiowa County,20,1406,2452,2392
99,Kansas,Labette County,20,19618,20119,19912
101,Kansas,Lane County,20,1535,1568,1565
103,Kansas,Leavenworth County,20,81758,81870,82184
105,Kansas,Lincoln County,20,13024,2947,2903
107,Kansas,Linn County,20,226706,9582,9747
109,Kansas,Logan County,20,21466,2743,2722
111,Kansas,Lyon County,20,11755,32100,31998
113,Kansas,McPherson County,20,28542,30160,30146
115,Kansas,Marion County,20,29709,11754,11712
117,Kansas,Marshall County,20,96774,10014,9979
119,Kansas,Meade County,20,4033,4045,4022
121,Kansas,Miami County,20,35516,34183,34593
123,Kansas,Mitchell County,20,21863,5764,5748
125,Kansas,Montgomery County,20,226486,31360,31156
127,Kansas,Morris County,20,5620,5360,5356
129,Kansas,Morton County,20,2587,2695,2692
131,Kansas,Nemaha County,20,10231,10218,10216
133,Kansas,Neosho County,20,16007,15909,15784
135,Kansas,Ness County,20,2750,2678,2672
137,Kansas,Norton County,20,5361,5435,5342
139,Kansas,Osage County,20,15949,15724,15768
141,Kansas,Osborne County,20,3421,3494,3498
143,Kansas,Ottawa County,20,5704,5733,5838
145,Kansas,Pawnee County,20,6414,6244,6225
147,Kansas,Phillips County,20,17782,4953,4815
149,Kansas,Pottawatomie County,20,24383,25392,25790
151,Kansas,Pratt County,20,9164,9151,9181
153,Kansas,Rawlins County,20,2530,2555,2549
155,Kansas,Reno County,20,61998,61808,61414
157,Kansas,Republic County,20,4636,4680,4662
159,Kansas,Rice County,20,9537,9374,9390
161,Kansas,Riley County,20,74232,71996,72208
163,Kansas,Rooks County,20,4920,4894,4831
165,Kansas,Rush County,20,16581,2944,2953
167,Kansas,Russell County,20,57961,6672,6703
169,Kansas,Saline County,20,122437,54232,53888
171,Kansas,Scott County,20,10281,5137,5131
173,Kansas,Sedgwick County,20,2248,524246,523828
175,Kansas,Seward County,20,21428,21832,21747
177,Kansas,Shawnee County,20,176875,178608,178264
179,Kansas,Sheridan County,20,2521,2442,2478
181,Kansas,Sherman County,20,5917,5882,5895
183,Kansas,Smith County,20,3583,3559,3576
185,Kansas,Stafford County,20,4156,4064,4034
187,Kansas,Stanton County,20,2006,2072,2044
189,Kansas,Stevens County,20,5485,5236,5293
191,Kansas,Sumner County,20,22836,22332,22385
193,Kansas,Thomas County,20,44451,7916,7877
195,Kansas,Trego County,20,2803,2808,2793
197,Kansas,Wabaunsee County,20,6931,6885,6966
199,Kansas,Wallace County,20,1518,1514,1508
201,Kansas,Washington County,20,16326,5526,5511
203,Kansas,Wichita County,20,2119,2144,2082
205,Kansas,Wilson County,20,8525,8577,8526
207,Kansas,Woodson County,20,3138,3103,3102
209,Kansas,Wyandotte County,20,165429,168873,167046
1,Kentucky,Adair County,21,7152,18870,18932
3,Kentucky,Allen County,21,379299,20595,20797
5,Kentucky,Anderson County,21,7858,23869,24035
7,Kentucky,Ballard County,21,7888,7724,7695
9,Kentucky,Barren County,21,44249,44445,44544
11,Kentucky,Bath County,21,12500,12708,12778
13,Kentucky,Bell County,21,26032,23942,23858
15,Kentucky,Boone County,21,37432,136403,137412
17,Kentucky,Bourbon County,21,14534,20285,20229
19,Kentucky,Boyd County,21,46718,48175,47899
21,Kentucky,Boyle County,21,30060,30701,30747
23,Kentucky,Bracken County,21,8303,8390,8439
25,Kentucky,Breathitt County,21,12630,13679,13553
27,Kentucky,Breckinridge County,21,20477,20432,20651
29,Kentucky,Bullitt County,21,81676,82293,82918
31,Kentucky,Butler County,21,19448,12318,12294
33,Kentucky,Caldwell County,21,12747,12632,12624
35,Kentucky,Calloway County,21,39001,37147,37560
37,Kentucky,Campbell County,21,93584,93086,93050
39,Kentucky,Carlisle County,21,4760,4811,4791
41,Kentucky,Carroll County,21,28380,10833,10863
43,Kentucky,Carter County,21,26797,26575,26412
45,Kentucky,Casey County,21,16159,15886,15866
47,Kentucky,Christian County,21,32304,72696,72357
49,Kentucky,Clark County,21,22320,36999,36871
51,Kentucky,Clay County,21,13235,20294,20206
53,Kentucky,Clinton County,21,37562,9216,9265
55,Kentucky,Crittenden County,21,47955,8985,8947
57,Kentucky,Cumberland County,21,10766,5856,5879
59,Kentucky,Daviess County,21,33351,103291,103063
61,Kentucky,Edmonson County,21,12150,12132,12291
63,Kentucky,Elliott County,21,7517,7334,7381
65,Kentucky,Estill County,21,14106,14134,14092
67,Kentucky,Fayette County,21,16302,322403,321793
69,Kentucky,Fleming County,21,14581,15091,15224
71,Kentucky,Floyd County,21,98498,35756,35274
73,Kentucky,Franklin County,21,31362,51569,51682
75,Kentucky,Fulton County,21,12477,6501,6512
77,Kentucky,Gallatin County,21,4828,8667,8775
79,Kentucky,Garrard County,21,17666,16935,17362
81,Kentucky,Grant County,21,18265,25008,25244
83,Kentucky,Graves County,21,37266,36512,36615
85,Kentucky,Grayson County,21,26427,26410,26524
87,Kentucky,Green County,21,10941,11112,11291
89,Kentucky,Greenup County,21,35098,35852,35649
91,Kentucky,Hancock County,21,8457,9092,9064
93,Kentucky,Hardin County,21,3821,110719,111607
95,Kentucky,Harlan County,21,26010,26689,26164
97,Kentucky,Harrison County,21,40515,18705,18950
99,Kentucky,Hart County,21,26205,19271,19460
101,Kentucky,Henderson County,21,6646,44645,44329
103,Kentucky,Henry County,21,17205,15666,15657
105,Kentucky,Hickman County,21,4380,4521,4424
107,Kentucky,Hopkins County,21,44686,45367,45138
109,Kentucky,Jackson County,21,51626,12951,12984
111,Kentucky,Jefferson County,21,658573,782123,777874
113,Kentucky,Jessamine County,21,54115,52972,53626
115,Kentucky,Johnson County,21,26578,22634,22556
117,Kentucky,Kenton County,21,166998,169183,169495
119,Kentucky,Knott County,21,14806,14160,14053
121,Kentucky,Knox County,21,49699,30135,29909
123,Kentucky,Larue County,21,14398,14870,15028
125,Kentucky,Laurel County,21,60813,62662,62561
127,Kentucky,Lawrence County,21,32924,16288,16290
129,Kentucky,Lee County,21,164542,7360,7451
131,Kentucky,Leslie County,21,9877,10455,10278
133,Kentucky,Letcher County,21,21553,21428,21253
135,Kentucky,Lewis County,21,3838,13061,12987
137,Kentucky,Lincoln County,21,13024,24238,24243
139,Kentucky,Livingston County,21,35648,8845,8959
141,Kentucky,Logan County,21,21466,27497,27771
143,Kentucky,Lyon County,21,11755,8664,8803
145,Kentucky,McCracken County,21,65418,67836,67454
147,Kentucky,McCreary County,21,17231,16851,16892
149,Kentucky,McLean County,21,171517,9114,9100
151,Kentucky,Madison County,21,372909,92920,94666
153,Kentucky,Magoffin County,21,12161,11594,11497
155,Kentucky,Marion County,21,29709,19580,19725
157,Kentucky,Marshall County,21,96774,31665,31748
159,Kentucky,Martin County,21,161000,11228,11140
161,Kentucky,Mason County,21,13359,17085,16931
163,Kentucky,Meade County,21,4033,29981,30131
165,Kentucky,Menifee County,21,6489,6115,6194
167,Kentucky,Mercer County,21,15437,22616,22850
169,Kentucky,Metcalfe County,21,10071,10271,10349
171,Kentucky,Monroe County,21,20733,11301,11233
173,Kentucky,Montgomery County,21,226486,28091,28219
175,Kentucky,Morgan County,21,119679,13719,13820
177,Kentucky,Muhlenberg County,21,30622,30875,30694
179,Kentucky,Nelson County,21,46233,46756,47098
181,Kentucky,Nicholas County,21,7269,7536,7712
183,Kentucky,Ohio County,21,5875,23726,23688
185,Kentucky,Oldham County,21,66799,67642,68685
187,Kentucky,Owen County,21,20799,11294,11294
189,Kentucky,Owsley County,21,4415,4018,3953
191,Kentucky,Pendleton County,21,14590,14640,14607
193,Kentucky,Perry County,21,8923,28378,27929
195,Kentucky,Pike County,21,33114,58408,57391
197,Kentucky,Powell County,21,12359,13085,13133
199,Kentucky,Pulaski County,21,391911,65016,65423
201,Kentucky,Robertson County,21,2108,2184,2257
203,Kentucky,Rockcastle County,21,16695,16053,16115
205,Kentucky,Rowan County,21,24460,24732,24861
207,Kentucky,Russell County,21,57961,17975,18156
209,Kentucky,Scott County,21,10281,57477,58252
211,Kentucky,Shelby County,21,217702,48179,48461
213,Kentucky,Simpson County,21,18572,19620,19718
215,Kentucky,Spencer County,21,20277,19564,19916
217,Kentucky,Taylor County,21,21569,26020,26235
219,Kentucky,Todd County,21,12294,12280,12285
221,Kentucky,Trigg County,21,14651,14068,14192
223,Kentucky,Trimble County,21,8471,8461,8530
225,Kentucky,Union County,21,38682,13646,13544
227,Kentucky,Warren County,21,5254,134933,137212
229,Kentucky,Washington County,21,16326,12024,12072
231,Kentucky,Wayne County,21,29927,19528,19540
233,Kentucky,Webster County,21,2607,12989,12813
235,Kentucky,Whitley County,21,33964,36687,36939
237,Kentucky,Wolfe County,21,7157,6552,6507
239,Kentucky,Woodford County,21,38459,26892,27075
1,Louisiana,Acadia Parish,22,62045,57455,57288
3,Louisiana,Allen Parish,22,25627,22697,22687
5,Louisiana,Ascension Parish,22,126604,126984,128369
7,Louisiana,Assumption Parish,22,21891,20968,20689
9,Louisiana,Avoyelles Parish,22,40144,39616,39236
11,Louisiana,Beauregard Parish,22,37497,36573,36584
13,Louisiana,Bienville Parish,22,13241,12899,12776
15,Louisiana,Bossier Parish,22,127039,128615,129144
17,Louisiana,Caddo Parish,22,240204,237056,233092
19,Louisiana,Calcasieu Parish,22,203436,216416,205282
21,Louisiana,Caldwell Parish,22,9918,9617,9571
23,Louisiana,Cameron Parish,22,6973,5619,5080
25,Louisiana,Catahoula Parish,22,9494,8859,8805
27,Louisiana,Claiborne Parish,22,15670,14109,14038
29,Louisiana,Concordia Parish,22,19259,18589,18376
31,Louisiana,De Soto Parish,22,27463,26854,26919
33,Louisiana,East Baton Rouge Parish,22,440059,455884,453301
35,Louisiana,East Carroll Parish,22,6861,7383,7220
37,Louisiana,East Feliciana Parish,22,19135,19451,19338
39,Louisiana,Evangeline Parish,22,33395,32307,32215
41,Louisiana,Franklin Parish,22,20015,19721,19668
43,Louisiana,Grant Parish,22,22389,22129,22236
45,Louisiana,Iberia Parish,22,69830,69725,68975
47,Louisiana,Iberville Parish,22,32511,30095,29824
49,Louisiana,Jackson Parish,22,15744,14989,14876
51,Louisiana,Jefferson Parish,22,432493,439845,433688
53,Louisiana,Jefferson Davis Parish,22,31368,32166,32345
