COUNTY,STNAME,CTYNAME,STATE,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021
25,Arkansas,Cleveland County,5,7956,7544,7514
27,Arkansas,Columbia County,5,23457,22741,22672
29,Arkansas,Conway County,5,20846,20729,20873
31,Arkansas,Craighead County,5,110332,111576,112218
33,Arkansas,Crawford County,5,63257,60107,60378
35,Arkansas,Crittenden County,5,47955,48067,47525
37,Arkansas,Cross County,5,16419,16762,16681
39,Arkansas,Dallas County,5,37196,6445,6308
41,Arkansas,Desha County,5,11361,11330,11090
43,Arkansas,Drew County,5,18219,17309,17110
45,Arkansas,Faulkner County,5,126007,123666,125106
47,Arkansas,Franklin County,5,31362,17122,17173
49,Arkansas,Fulton County,5,12477,12033,12145
51,Arkansas,Garland County,5,99386,100162,100330
53,Arkansas,Grant County,5,18265,17975,18090
55,Arkansas,Greene County,5,8111,45818,46317
57,Arkansas,Hempstead County,5,21532,19993,19694
59,Arkansas,Hot Spring County,5,33771,33034,33148
61,Arkansas,Howard County,5,13202,12755,12698
63,Arkansas,Independence County,5,37825,37892,37723
65,Arkansas,Izard County,5,13629,13576,13911
67,Arkansas,Jackson County,5,51626,16737,16811
69,Arkansas,Jefferson County,5,658573,66811,65861
71,Arkansas,Johnson County,5,26578,25692,25845
73,Arkansas,Lafayette County,5,6624,6294,6163
75,Arkansas,Lawrence County,5,32924,16196,16292
77,Arkansas,Lee County,5,164542,8529,8619
79,Arkansas,Lincoln County,5,13024,12879,13037
81,Arkansas,Little River County,5,12259,11971,11944
83,Arkansas,Logan County,5,21466,21097,21215
85,Arkansas,Lonoke County,5,73309,74042,74722
87,Arkansas,Madison County,5,372909,16551,16960
89,Arkansas,Marion County,5,29709,16862,16978
91,Arkansas,Miller County,5,43257,42570,42649
93,Arkansas,Mississippi County,5,40651,40503,39661
95,Arkansas,Monroe County,5,20733,6765,6683
97,Arkansas,Montgomery County,5,226486,8459,8611
99,Arkansas,Nevada County,5,8252,8284,8187
101,Arkansas,Newton County,5,7753,7198,7204
103,Arkansas,Ouachita County,5,23382,22592,22306
105,Arkansas,Perry County,5,8923,9997,9964
107,Arkansas,Phillips County,5,17782,16445,15906
