countyfips,state_name,county_name,NIC_2019,NIC_2020,NUI_2019,NUI_2020,nic_moe_2019,nic_moe_2020,nui_moe_2019,nui_moe_2020,statefips
105,Alabama,Perry County,5621.0,5193.0,776.0,732.0,105.0,106.0,105.0,106.0,1
107,Alabama,Pickens County,12422.0,11990.0,1755.0,1717.0,209.0,226.0,209.0,226.0,1
109,Alabama,Pike County,22345.0,22231.0,3498.0,3164.0,418.0,467.0,418.0,467.0,1
111,Alabama,Randolph County,15472.0,15192.0,2165.0,2268.0,261.0,300.0,261.0,300.0,1
113,Alabama,Russell County,43117.0,41809.0,5473.0,5730.0,674.0,810.0,674.0,810.0,1
117,Alabama,Shelby County,165710.0,166801.0,15878.0,17077.0,1470.0,1757.0,1470.0,1757.0,1
115,Alabama,St. Clair County,65748.0,64866.0,7465.0,8510.0,826.0,1006.0,826.0,1006.0,1
119,Alabama,Sumter County,7999.0,7660.0,1218.0,1055.0,159.0,160.0,159.0,160.0,1
121,Alabama,Talladega County,55213.0,53631.0,6969.0,7026.0,761.0,833.0,761.0,833.0,1
123,Alabama,Tallapoosa County,27198.0,25976.0,3761.0,4076.0,419.0,491.0,419.0,491.0,1
125,Alabama,Tuscaloosa County,154095.0,151403.0,17245.0,17467.0,1748.0,1831.0,1748.0,1831.0,1
127,Alabama,Walker County,43707.0,43772.0,6674.0,5760.0,701.0,699.0,701.0,699.0,1
129,Alabama,Washington County,11170.0,10713.0,1781.0,1782.0,201.0,231.0,201.0,231.0,1
131,Alabama,Wilcox County,7135.0,6659.0,934.0,928.0,109.0,120.0,109.0,120.0,1
133,Alabama,Winston County,15929.0,15501.0,2389.0,2434.0,277.0,299.0,277.0,299.0,1
13,Alaska,Aleutians East Borough,2276.0,2501.0,691.0,655.0,83.0,96.0,83.0,96.0,2
16,Alaska,Aleutians West Census Area,4112.0,4155.0,884.0,1092.0,108.0,138.0,108.0,138.0,2
20,Alaska,Anchorage Borough,221770.0,224907.0,27810.0,27512.0,1763.0,1933.0,1763.0,1933.0,2
50,Alaska,Bethel Census Area,13692.0,13837.0,2755.0,3307.0,260.0,348.0,260.0,348.0,2
60,Alaska,Bristol Bay Borough,578.0,524.0,103.0,116.0,13.0,16.0,13.0,16.0,2
63,Alaska,Chugach Census Area,,4739.0,,830.0,,110.0,,110.0,2
66,Alaska,Copper River Census Area,,2001.0,,374.0,,52.0,,52.0,2
68,Alaska,Denali Borough,1583.0,1542.0,206.0,221.0,28.0,32.0,28.0,32.0,2
70,Alaska,Dillingham Census Area,3693.0,3710.0,678.0,757.0,74.0,92.0,74.0,92.0,2
