county_state,COUNTY,STNAME,CTYNAME,STATE,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021
"Crawford County, IN",25,IN,Crawford County,18,63257,10540,10514
"Daviess County, IN",27,IN,Daviess County,18,33351,33391,33397
"Dearborn County, IN",29,IN,Dearborn County,18,49458,50726,50816
"Decatur County, IN",31,IN,Decatur County,18,26404,26477,26320
"DeKalb County, IN",33,IN,DeKalb County,18,71513,43274,43333
"Delaware County, IN",35,IN,Delaware County,18,114135,111669,111871
"Dubois County, IN",37,IN,Dubois County,18,42736,43604,43549
"Elkhart County, IN",39,IN,Elkhart County,18,206341,206842,206921
"Fayette County, IN",41,IN,Fayette County,18,16302,23333,23360
"Floyd County, IN",43,IN,Floyd County,18,98498,80437,80454
"Fountain County, IN",45,IN,Fountain County,18,16346,16470,16427
"Franklin County, IN",47,IN,Franklin County,18,31362,22767,22842
"Fulton County, IN",49,IN,Fulton County,18,12477,20434,20386
"Gibson County, IN",51,IN,Gibson County,18,33659,33021,32924
"Grant County, IN",53,IN,Grant County,18,18265,66446,66263
"Greene County, IN",55,IN,Greene County,18,8111,30790,30786
"Hamilton County, IN",57,IN,Hamilton County,18,14428,348868,356650
"Hancock County, IN",59,IN,Hancock County,18,8457,80156,81789
"Harrison County, IN",61,IN,Harrison County,18,40515,39652,39761
"Hendricks County, IN",63,IN,Hendricks County,18,170311,175528,179355
"Henry County, IN",65,IN,Henry County,18,17205,48885,48935
"Howard County, IN",67,IN,Howard County,18,13202,83619,83687
"Huntington County, IN",69,IN,Huntington County,18,36520,36599,36717
"Jackson County, IN",71,IN,Jackson County,18,51626,46373,46067
"Jasper County, IN",73,IN,Jasper County,18,14219,32906,33091
"Jay County, IN",75,IN,Jay County,18,20436,20456,20248
"Jefferson County, IN",77,IN,Jefferson County,18,658573,33075,33141
"Jennings County, IN",79,IN,Jennings County,18,27735,27564,27409
"Johnson County, IN",81,IN,Johnson County,18,26578,162180,164298
"Knox County, IN",83,IN,Knox County,18,49699,36244,35956
"Kosciusko County, IN",85,IN,Kosciusko County,18,79456,80050,80106
"LaGrange County, IN",87,IN,LaGrange County,18,39614,40515,40524
"Lake County, IN",89,IN,Lake County,18,64386,498597,498558
"LaPorte County, IN",91,IN,LaPorte County,18,109888,112222,112390
"Lawrence County, IN",93,IN,Lawrence County,18,32924,45022,45070
"Madison County, IN",95,IN,Madison County,18,372909,130065,130782
"Marion County, IN",97,IN,Marion County,18,29709,976770,971102
"Marshall County, IN",99,IN,Marshall County,18,96774,46018,46121
"Martin County, IN",101,IN,Martin County,18,161000,9786,9780
"Miami County, IN",103,IN,Miami County,18,35516,35924,36081
"Monroe County, IN",105,IN,Monroe County,18,20733,139517,139875
"Montgomery County, IN",107,IN,Montgomery County,18,226486,37932,38063
"Morgan County, IN",109,IN,Morgan County,18,119679,71802,72206
"Newton County, IN",111,IN,Newton County,18,7753,13796,13808
"Noble County, IN",113,IN,Noble County,18,47744,47379,47227
"Ohio County, IN",115,IN,Ohio County,18,5875,5930,5978
"Orange County, IN",117,IN,Orange County,18,3175692,19839,19830
"Owen County, IN",119,IN,Owen County,18,20799,21298,21446
"Parke County, IN",121,IN,Parke County,18,16937,16154,16407
"Perry County, IN",123,IN,Perry County,18,8923,19150,19316
"Pike County, IN",125,IN,Pike County,18,33114,12233,12144
"Porter County, IN",127,IN,Porter County,18,170389,173256,174243
"Posey County, IN",129,IN,Posey County,18,25427,25161,25116
"Pulaski County, IN",131,IN,Pulaski County,18,391911,12488,12339
"Putnam County, IN",133,IN,Putnam County,18,74521,36666,36979
"Randolph County, IN",135,IN,Randolph County,18,22722,24375,24387
"Ripley County, IN",137,IN,Ripley County,18,28324,28980,29081
"Rush County, IN",139,IN,Rush County,18,16581,16744,16672
"St. Joseph County, IN",141,IN,St. Joseph County,18,271826,272549,272212
"Scott County, IN",143,IN,Scott County,18,10281,24336,24355
"Shelby County, IN",145,IN,Shelby County,18,217702,45026,45039
"Spencer County, IN",147,IN,Spencer County,18,20277,19820,19798
"Starke County, IN",149,IN,Starke County,18,22995,23356,23372
"Steuben County, IN",151,IN,Steuben County,18,34594,34440,34632
"Sullivan County, IN",153,IN,Sullivan County,18,20669,20803,20758
"Switzerland County, IN",155,IN,Switzerland County,18,10751,9724,9790
"Tippecanoe County, IN",157,IN,Tippecanoe County,18,195732,186247,187076
"Tipton County, IN",159,IN,Tipton County,18,15148,15365,15372
"Union County, IN",161,IN,Union County,18,38682,7090,7047
"Vanderburgh County, IN",163,IN,Vanderburgh County,18,181451,180158,179987
"Vermillion County, IN",165,IN,Vermillion County,18,15498,15388,15341
"Vigo County, IN",167,IN,Vigo County,18,107038,106007,105994
"Wabash County, IN",169,IN,Wabash County,18,11520,30888,30816
"Warren County, IN",171,IN,Warren County,18,5254,8413,8475
"Warrick County, IN",173,IN,Warrick County,18,62998,63966,64514
"Washington County, IN",175,IN,Washington County,18,16326,28220,28102
"Wayne County, IN",177,IN,Wayne County,18,29927,66455,66456
"Wells County, IN",179,IN,Wells County,18,28296,28179,28197
"White County, IN",181,IN,White County,18,78753,24636,24651
"Whitley County, IN",183,IN,Whitley County,18,33964,34316,34430
"Adair County, IA",1,IA,Adair County,19,7152,7477,7541
"Adams County, IA",3,IA,Adams County,19,517421,3697,3641
"Allamakee County, IA",5,IA,Allamakee County,19,13687,14067,13926
"Appanoose County, IA",7,IA,Appanoose County,19,12426,12282,12257
"Audubon County, IA",9,IA,Audubon County,19,5496,5671,5635
"Benton County, IA",11,IA,Benton County,19,279141,25536,25691
"Black Hawk County, IA",13,IA,Black Hawk County,19,131228,130980,130368
"Boone County, IA",15,IA,Boone County,19,37432,26691,26723
"Bremer County, IA",17,IA,Bremer County,19,25062,24974,25081
"Buchanan County, IA",19,IA,Buchanan County,19,21175,20586,20657
"Buena Vista County, IA",21,IA,Buena Vista County,19,19620,20776,20771
"Butler County, IA",23,IA,Butler County,19,19448,14311,14332
"Calhoun County, IA",25,IA,Calhoun County,19,113605,9886,9915
"Carroll County, IA",27,IA,Carroll County,19,28380,20702,20692
"Cass County, IA",29,IA,Cass County,19,12147,13104,13050
"Cedar County, IA",31,IA,Cedar County,19,18627,18495,18410
"Cerro Gordo County, IA",33,IA,Cerro Gordo County,19,42450,42965,42706
"Cherokee County, IA",35,IA,Cherokee County,19,26196,11632,11503
"Chickasaw County, IA",37,IA,Chickasaw County,19,11933,11970,11887
"Clarke County, IA",39,IA,Clarke County,19,23622,9726,9785
"Clay County, IA",41,IA,Clay County,19,13235,16333,16440
"Clayton County, IA",43,IA,Clayton County,19,292256,16996,16998
"Clinton County, IA",45,IA,Clinton County,19,37562,46418,46463
"Crawford County, IA",47,IA,Crawford County,19,63257,16453,16193
"Dallas County, IA",49,IA,Dallas County,19,37196,100486,103796
"Davis County, IA",51,IA,Davis County,19,9000,9109,9138
"Decatur County, IA",53,IA,Decatur County,19,26404,7610,7659
"Delaware County, IA",55,IA,Delaware County,19,114135,17458,17510
"Des Moines County, IA",57,IA,Des Moines County,19,38967,38831,38491
"Dickinson County, IA",59,IA,Dickinson County,19,17258,17747,17851
"Dubuque County, IA",61,IA,Dubuque County,19,97311,99229,98718
"Emmet County, IA",63,IA,Emmet County,19,9208,9332,9321
"Fayette County, IA",65,IA,Fayette County,19,16302,19399,19258
"Floyd County, IA",67,IA,Floyd County,19,98498,15552,15413
"Franklin County, IA",69,IA,Franklin County,19,31362,9983,9952
"Fremont County, IA",71,IA,Fremont County,19,47839,6560,6567
"Greene County, IA",73,IA,Greene County,19,8111,8746,8717
"Grundy County, IA",75,IA,Grundy County,19,51054,12312,12347
"Guthrie County, IA",77,IA,Guthrie County,19,10689,10612,10567
"Hamilton County, IA",79,IA,Hamilton County,19,14428,15020,14887
"Hancock County, IA",81,IA,Hancock County,19,8457,10757,10663
"Hardin County, IA",83,IA,Hardin County,19,3821,16821,16708
"Harrison County, IA",85,IA,Harrison County,19,40515,14546,14669
"Henry County, IA",87,IA,Henry County,19,17205,20412,20387
"Howard County, IA",89,IA,Howard County,19,13202,9487,9478
"Humboldt County, IA",91,IA,Humboldt County,19,135558,9595,9634
"Ida County, IA",93,IA,Ida County,19,6860,7007,6956
"Iowa County, IA",95,IA,Iowa County,19,16184,16679,16568
"Jackson County, IA",97,IA,Jackson County,19,51626,19437,19368
"Jasper County, IA",99,IA,Jasper County,19,14219,37802,37764
"Jefferson County, IA",101,IA,Jefferson County,19,658573,15659,15647
"Johnson County, IA",103,IA,Johnson County,19,26578,152984,154748
"Jones County, IA",105,IA,Jones County,19,28735,20647,20805
"Keokuk County, IA",107,IA,Keokuk County,19,10246,9995,9914
"Kossuth County, IA",109,IA,Kossuth County,19,14813,14786,14529
"Lee County, IA",111,IA,Lee County,19,164542,33512,33215
"Linn County, IA",113,IA,Linn County,19,226706,230263,228939
"Louisa County, IA",115,IA,Louisa County,19,11035,10806,10749
"Lucas County, IA",117,IA,Lucas County,19,8600,8615,8710
"Lyon County, IA",119,IA,Lyon County,19,11755,11917,12011
"Madison County, IA",121,IA,Madison County,19,372909,16626,16773
"Mahaska County, IA",123,IA,Mahaska County,19,22095,22148,21984
"Marion County, IA",125,IA,Marion County,19,29709,33377,33380
"Marshall County, IA",127,IA,Marshall County,19,96774,40059,39853
"Mills County, IA",129,IA,Mills County,19,15109,14405,14465
"Mitchell County, IA",131,IA,Mitchell County,19,21863,10582,10555
"Monona County, IA",133,IA,Monona County,19,8615,8742,8574
"Monroe County, IA",135,IA,Monroe County,19,20733,7582,7610
"Montgomery County, IA",137,IA,Montgomery County,19,226486,10335,10322
"Muscatine County, IA",139,IA,Muscatine County,19,42664,43113,42688
"O'Brien County, IA",141,IA,O'Brien County,19,13753,14154,14015
"Osceola County, IA",143,IA,Osceola County,19,375751,6189,6159
"Page County, IA",145,IA,Page County,19,15107,15180,15197
"Palo Alto County, IA",147,IA,Palo Alto County,19,8886,8961,8906
"Plymouth County, IA",149,IA,Plymouth County,19,25177,25681,25650
"Pocahontas County, IA",151,IA,Pocahontas County,19,6619,7075,7074
"Polk County, IA",153,IA,Polk County,19,19964,492769,496844
"Pottawattamie County, IA",155,IA,Pottawattamie County,19,93206,93560,93304
"Poweshiek County, IA",157,IA,Poweshiek County,19,18504,18643,18586
"Ringgold County, IA",159,IA,Ringgold County,19,4894,4639,4639
"Sac County, IA",161,IA,Sac County,19,9721,9791,9752
"Scott County, IA",163,IA,Scott County,19,10281,174488,174170
"Shelby County, IA",165,IA,Shelby County,19,217702,11699,11770
"Sioux County, IA",167,IA,Sioux County,19,34855,35869,35893
"Story County, IA",169,IA,Story County,19,97117,98615,99472
"Tama County, IA",171,IA,Tama County,19,16854,17072,16867
"Taylor County, IA",173,IA,Taylor County,19,21569,5861,5868
"Union County, IA",175,IA,Union County,19,38682,12097,12018
"Van Buren County, IA",177,IA,Van Buren County,19,16545,7204,7243
"Wapello County, IA",179,IA,Wapello County,19,34969,35341,35256
"Warren County, IA",181,IA,Warren County,19,5254,52548,53402
"Washington County, IA",183,IA,Washington County,19,16326,22511,22491
"Wayne County, IA",185,IA,Wayne County,19,29927,6509,6508
"Webster County, IA",187,IA,Webster County,19,2607,36954,37147
"Winnebago County, IA",189,IA,Winnebago County,19,282572,10650,10656
"Winneshiek County, IA",191,IA,Winneshiek County,19,19991,20031,19892
"Woodbury County, IA",193,IA,Woodbury County,19,103107,105829,105607
"Worth County, IA",195,IA,Worth County,19,20247,7425,7385
"Wright County, IA",197,IA,Wright County,19,12562,12914,12785
"Allen County, KS",1,KS,Allen County,20,379299,12537,12464
"Anderson County, KS",3,KS,Anderson County,20,7858,7850,7778
"Atchison County, KS",5,KS,Atchison County,20,16073,16305,16239
"Barber County, KS",7,KS,Barber County,20,4427,4198,4110
"Barton County, KS",9,KS,Barton County,20,25779,25419,25216
"Bourbon County, KS",11,KS,Bourbon County,20,14534,14333,14323
"Brown County, KS",13,KS,Brown County,20,6578,9473,9455
"Butler County, KS",15,KS,Butler County,20,19448,67401,67889
"Chase County, KS",17,KS,Chase County,20,2648,2564,2598
"Chautauqua County, KS",19,KS,Chautauqua County,20,3250,3386,3395
"Cherokee County, KS",21,KS,Cherokee County,20,26196,19275,19130
"Cheyenne County, KS",23,KS,Cheyenne County,20,1831,2620,2633
"Clark County, KS",25,KS,Clark County,20,22320,1973,1977
"Clay County, KS",27,KS,Clay County,20,13235,8112,8077
"Cloud County, KS",29,KS,Cloud County,20,8786,8988,8928
"Coffey County, KS",31,KS,Coffey County,20,8179,8370,8338
"Comanche County, KS",33,KS,Comanche County,20,1700,1681,1670
"Cowley County, KS",35,KS,Cowley County,20,34908,34498,34496
"Crawford County, KS",37,KS,Crawford County,20,63257,38930,39110
"Decatur County, KS",39,KS,Decatur County,20,26404,2749,2751
"Dickinson County, KS",41,KS,Dickinson County,20,17258,18353,18459
"Doniphan County, KS",43,KS,Doniphan County,20,7600,7469,7471
"Douglas County, KS",45,KS,Douglas County,20,351154,118814,119363
"Edwards County, KS",47,KS,Edwards County,20,6395,2898,2832
"Elk County, KS",49,KS,Elk County,20,2530,2475,2441
"Ellis County, KS",51,KS,Ellis County,20,28553,28931,28790
"Ellsworth County, KS",53,KS,Ellsworth County,20,6102,6354,6336
"Finney County, KS",55,KS,Finney County,20,36467,38297,38107
"Ford County, KS",57,KS,Ford County,20,12961,34206,34159
"Franklin County, KS",59,KS,Franklin County,20,31362,26028,25986
"Geary County, KS",61,KS,Geary County,20,31670,36747,35934
"Gove County, KS",63,KS,Gove County,20,2636,2694,2755
"Graham County, KS",65,KS,Graham County,20,38837,2405,2400
"Grant County, KS",67,KS,Grant County,20,18265,7327,7324
"Gray County, KS",69,KS,Gray County,20,5988,5633,5644
"Greeley County, KS",71,KS,Greeley County,20,1232,1277,1304
"Greenwood County, KS",73,KS,Greenwood County,20,5982,5972,5939
"Hamilton County, KS",75,KS,Hamilton County,20,14428,2494,2484
"Harper County, KS",77,KS,Harper County,20,5436,5461,5331
"Harvey County, KS",79,KS,Harvey County,20,34429,33942,33817
"Haskell County, KS",81,KS,Haskell County,20,3968,3756,3668
"Hodgeman County, KS",83,KS,Hodgeman County,20,1794,1718,1710
"Jackson County, KS",85,KS,Jackson County,20,51626,13230,13261
"Jefferson County, KS",87,KS,Jefferson County,20,658573,18300,18411
"Jewell County, KS",89,KS,Jewell County,20,2879,2926,2937
"Johnson County, KS",91,KS,Johnson County,20,26578,610536,613219
"Kearny County, KS",93,KS,Kearny County,20,3838,3971,3891
"Kingman County, KS",95,KS,Kingman County,20,7152,7446,7392
"Kiowa County, KS",97,KS,Kiowa County,20,1406,2452,2392
"Labette County, KS",99,KS,Labette County,20,19618,20119,19912
"Lane County, KS",101,KS,Lane County,20,1535,1568,1565
"Leavenworth County, KS",103,KS,Leavenworth County,20,81758,81870,82184
"Lincoln County, KS",105,KS,Lincoln County,20,13024,2947,2903
"Linn County, KS",107,KS,Linn County,20,226706,9582,9747
"Logan County, KS",109,KS,Logan County,20,21466,2743,2722
"Lyon County, KS",111,KS,Lyon County,20,11755,32100,31998
"McPherson County, KS",113,KS,McPherson County,20,28542,30160,30146
"Marion County, KS",115,KS,Marion County,20,29709,11754,11712
"Marshall County, KS",117,KS,Marshall County,20,96774,10014,9979
"Meade County, KS",119,KS,Meade County,20,4033,4045,4022
"Miami County, KS",121,KS,Miami County,20,35516,34183,34593
"Mitchell County, KS",123,KS,Mitchell County,20,21863,5764,5748
"Montgomery County, KS",125,KS,Montgomery County,20,226486,31360,31156
"Morris County, KS",127,KS,Morris County,20,5620,5360,5356
"Morton County, KS",129,KS,Morton County,20,2587,2695,2692
"Nemaha County, KS",131,KS,Nemaha County,20,10231,10218,10216
"Neosho County, KS",133,KS,Neosho County,20,16007,15909,15784
"Ness County, KS",135,KS,Ness County,20,2750,2678,2672
"Norton County, KS",137,KS,Norton County,20,5361,5435,5342
"Osage County, KS",139,KS,Osage County,20,15949,15724,15768
"Osborne County, KS",141,KS,Osborne County,20,3421,3494,3498
"Ottawa County, KS",143,KS,Ottawa County,20,5704,5733,5838
"Pawnee County, KS",145,KS,Pawnee County,20,6414,6244,6225
"Phillips County, KS",147,KS,Phillips County,20,17782,4953,4815
"Pottawatomie County, KS",149,KS,Pottawatomie County,20,24383,25392,25790
"Pratt County, KS",151,KS,Pratt County,20,9164,9151,9181
"Rawlins County, KS",153,KS,Rawlins County,20,2530,2555,2549
"Reno County, KS",155,KS,Reno County,20,61998,61808,61414
"Republic County, KS",157,KS,Republic County,20,4636,4680,4662
"Rice County, KS",159,KS,Rice County,20,9537,9374,9390
"Riley County, KS",161,KS,Riley County,20,74232,71996,72208
"Rooks County, KS",163,KS,Rooks County,20,4920,4894,4831
"Rush County, KS",165,KS,Rush County,20,16581,2944,2953
"Russell County, KS",167,KS,Russell County,20,57961,6672,6703
"Saline County, KS",169,KS,Saline County,20,122437,54232,53888
"Scott County, KS",171,KS,Scott County,20,10281,5137,5131
"Sedgwick County, KS",173,KS,Sedgwick County,20,2248,524246,523828
"Seward County, KS",175,KS,Seward County,20,21428,21832,21747
"Shawnee County, KS",177,KS,Shawnee County,20,176875,178608,178264
"Sheridan County, KS",179,KS,Sheridan County,20,2521,2442,2478
"Sherman County, KS",181,KS,Sherman County,20,5917,5882,5895
"Smith County, KS",183,KS,Smith County,20,3583,3559,3576
"Stafford County, KS",185,KS,Stafford County,20,4156,4064,4034
"Stanton County, KS",187,KS,Stanton County,20,2006,2072,2044
"Stevens County, KS",189,KS,Stevens County,20,5485,5236,5293
"Sumner County, KS",191,KS,Sumner County,20,22836,22332,22385
"Thomas County, KS",193,KS,Thomas County,20,44451,7916,7877
"Trego County, KS",195,KS,Trego County,20,2803,2808,2793
"Wabaunsee County, KS",197,KS,Wabaunsee County,20,6931,6885,6966
"Wallace County, KS",199,KS,Wallace County,20,1518,1514,1508
"Washington County, KS",201,KS,Washington County,20,16326,5526,5511
"Wichita County, KS",203,KS,Wichita County,20,2119,2144,2082
"Wilson County, KS",205,KS,Wilson County,20,8525,8577,8526
"Woodson County, KS",207,KS,Woodson County,20,3138,3103,3102
"Wyandotte County, KS",209,KS,Wyandotte County,20,165429,168873,167046
"Adair County, KY",1,KY,Adair County,21,7152,18870,18932
"Allen County, KY",3,KY,Allen County,21,379299,20595,20797
"Anderson County, KY",5,KY,Anderson County,21,7858,23869,24035
"Ballard County, KY",7,KY,Ballard County,21,7888,7724,7695
"Barren County, KY",9,KY,Barren County,21,44249,44445,44544
"Bath County, KY",11,KY,Bath County,21,12500,12708,12778
"Bell County, KY",13,KY,Bell County,21,26032,23942,23858
"Boone County, KY",15,KY,Boone County,21,37432,136403,137412
"Bourbon County, KY",17,KY,Bourbon County,21,14534,20285,20229
"Boyd County, KY",19,KY,Boyd County,21,46718,48175,47899
"Boyle County, KY",21,KY,Boyle County,21,30060,30701,30747
"Bracken County, KY",23,KY,Bracken County,21,8303,8390,8439
"Breathitt County, KY",25,KY,Breathitt County,21,12630,13679,13553
"Breckinridge County, KY",27,KY,Breckinridge County,21,20477,20432,20651
"Bullitt County, KY",29,KY,Bullitt County,21,81676,82293,82918
"Butler County, KY",31,KY,Butler County,21,19448,12318,12294
"Caldwell County, KY",33,KY,Caldwell County,21,12747,12632,12624
"Calloway County, KY",35,KY,Calloway County,21,39001,37147,37560
"Campbell County, KY",37,KY,Campbell County,21,93584,93086,93050
"Carlisle County, KY",39,KY,Carlisle County,21,4760,4811,4791
"Carroll County, KY",41,KY,Carroll County,21,28380,10833,10863
"Carter County, KY",43,KY,Carter County,21,26797,26575,26412
"Casey County, KY",45,KY,Casey County,21,16159,15886,15866
"Christian County, KY",47,KY,Christian County,21,32304,72696,72357
"Clark County, KY",49,KY,Clark County,21,22320,36999,36871
"Clay County, KY",51,KY,Clay County,21,13235,20294,20206
"Clinton County, KY",53,KY,Clinton County,21,37562,9216,9265
"Crittenden County, KY",55,KY,Crittenden County,21,47955,8985,8947
"Cumberland County, KY",57,KY,Cumberland County,21,10766,5856,5879
"Daviess County, KY",59,KY,Daviess County,21,33351,103291,103063
"Edmonson County, KY",61,KY,Edmonson County,21,12150,12132,12291
"Elliott County, KY",63,KY,Elliott County,21,7517,7334,7381
"Estill County, KY",65,KY,Estill County,21,14106,14134,14092
"Fayette County, KY",67,KY,Fayette County,21,16302,322403,321793
"Fleming County, KY",69,KY,Fleming County,21,14581,15091,15224
"Floyd County, KY",71,KY,Floyd County,21,98498,35756,35274
"Franklin County, KY",73,KY,Franklin County,21,31362,51569,51682
"Fulton County, KY",75,KY,Fulton County,21,12477,6501,6512
"Gallatin County, KY",77,KY,Gallatin County,21,4828,8667,8775
"Garrard County, KY",79,KY,Garrard County,21,17666,16935,17362
"Grant County, KY",81,KY,Grant County,21,18265,25008,25244
"Graves County, KY",83,KY,Graves County,21,37266,36512,36615
"Grayson County, KY",85,KY,Grayson County,21,26427,26410,26524
"Green County, KY",87,KY,Green County,21,10941,11112,11291
"Greenup County, KY",89,KY,Greenup County,21,35098,35852,35649
"Hancock County, KY",91,KY,Hancock County,21,8457,9092,9064
"Hardin County, KY",93,KY,Hardin County,21,3821,110719,111607
"Harlan County, KY",95,KY,Harlan County,21,26010,26689,26164
"Harrison County, KY",97,KY,Harrison County,21,40515,18705,18950
"Hart County, KY",99,KY,Hart County,21,26205,19271,19460
"Henderson County, KY",101,KY,Henderson County,21,6646,44645,44329
"Henry County, KY",103,KY,Henry County,21,17205,15666,15657
"Hickman County, KY",105,KY,Hickman County,21,4380,4521,4424
"Hopkins County, KY",107,KY,Hopkins County,21,44686,45367,45138
"Jackson County, KY",109,KY,Jackson County,21,51626,12951,12984
"Jefferson County, KY",111,KY,Jefferson County,21,658573,782123,777874
"Jessamine County, KY",113,KY,Jessamine County,21,54115,52972,53626
"Johnson County, KY",115,KY,Johnson County,21,26578,22634,22556
"Kenton County, KY",117,KY,Kenton County,21,166998,169183,169495
"Knott County, KY",119,KY,Knott County,21,14806,14160,14053
"Knox County, KY",121,KY,Knox County,21,49699,30135,29909
"Larue County, KY",123,KY,Larue County,21,14398,14870,15028
"Laurel County, KY",125,KY,Laurel County,21,60813,62662,62561
"Lawrence County, KY",127,KY,Lawrence County,21,32924,16288,16290
"Lee County, KY",129,KY,Lee County,21,164542,7360,7451
"Leslie County, KY",131,KY,Leslie County,21,9877,10455,10278
"Letcher County, KY",133,KY,Letcher County,21,21553,21428,21253
"Lewis County, KY",135,KY,Lewis County,21,3838,13061,12987
"Lincoln County, KY",137,KY,Lincoln County,21,13024,24238,24243
"Livingston County, KY",139,KY,Livingston County,21,35648,8845,8959
"Logan County, KY",141,KY,Logan County,21,21466,27497,27771
"Lyon County, KY",143,KY,Lyon County,21,11755,8664,8803
"McCracken County, KY",145,KY,McCracken County,21,65418,67836,67454
"McCreary County, KY",147,KY,McCreary County,21,17231,16851,16892
"McLean County, KY",149,KY,McLean County,21,171517,9114,9100
"Madison County, KY",151,KY,Madison County,21,372909,92920,94666
"Magoffin County, KY",153,KY,Magoffin County,21,12161,11594,11497
"Marion County, KY",155,KY,Marion County,21,29709,19580,19725
"Marshall County, KY",157,KY,Marshall County,21,96774,31665,31748
"Martin County, KY",159,KY,Martin County,21,161000,11228,11140
"Mason County, KY",161,KY,Mason County,21,13359,17085,16931
"Meade County, KY",163,KY,Meade County,21,4033,29981,30131
"Menifee County, KY",165,KY,Menifee County,21,6489,6115,6194
"Mercer County, KY",167,KY,Mercer County,21,15437,22616,22850
"Metcalfe County, KY",169,KY,Metcalfe County,21,10071,10271,10349
"Monroe County, KY",171,KY,Monroe County,21,20733,11301,11233
"Montgomery County, KY",173,KY,Montgomery County,21,226486,28091,28219
"Morgan County, KY",175,KY,Morgan County,21,119679,13719,13820
"Muhlenberg County, KY",177,KY,Muhlenberg County,21,30622,30875,30694
"Nelson County, KY",179,KY,Nelson County,21,46233,46756,47098
"Nicholas County, KY",181,KY,Nicholas County,21,7269,7536,7712
"Ohio County, KY",183,KY,Ohio County,21,5875,23726,23688
"Oldham County, KY",185,KY,Oldham County,21,66799,67642,68685
"Owen County, KY",187,KY,Owen County,21,20799,11294,11294
"Owsley County, KY",189,KY,Owsley County,21,4415,4018,3953
"Pendleton County, KY",191,KY,Pendleton County,21,14590,14640,14607
"Perry County, KY",193,KY,Perry County,21,8923,28378,27929
"Pike County, KY",195,KY,Pike County,21,33114,58408,57391
"Powell County, KY",197,KY,Powell County,21,12359,13085,13133
"Pulaski County, KY",199,KY,Pulaski County,21,391911,65016,65423
"Robertson County, KY",201,KY,Robertson County,21,2108,2184,2257
"Rockcastle County, KY",203,KY,Rockcastle County,21,16695,16053,16115
"Rowan County, KY",205,KY,Rowan County,21,24460,24732,24861
"Russell County, KY",207,KY,Russell County,21,57961,17975,18156
"Scott County, KY",209,KY,Scott County,21,10281,57477,58252
"Shelby County, KY",211,KY,Shelby County,21,217702,48179,48461
"Simpson County, KY",213,KY,Simpson County,21,18572,19620,19718
"Spencer County, KY",215,KY,Spencer County,21,20277,19564,19916
"Taylor County, KY",217,KY,Taylor County,21,21569,26020,26235
"Todd County, KY",219,KY,Todd County,21,12294,12280,12285
"Trigg County, KY",221,KY,Trigg County,21,14651,14068,14192
"Trimble County, KY",223,KY,Trimble County,21,8471,8461,8530
"Union County, KY",225,KY,Union County,21,38682,13646,13544
"Warren County, KY",227,KY,Warren County,21,5254,134933,137212
"Washington County, KY",229,KY,Washington County,21,16326,12024,12072
"Wayne County, KY",231,KY,Wayne County,21,29927,19528,19540
"Webster County, KY",233,KY,Webster County,21,2607,12989,12813
"Whitley County, KY",235,KY,Whitley County,21,33964,36687,36939
"Wolfe County, KY",237,KY,Wolfe County,21,7157,6552,6507
"Woodford County, KY",239,KY,Woodford County,21,38459,26892,27075
"Acadia Parish, LA",1,LA,Acadia Parish,22,62045,57455,57288
"Allen Parish, LA",3,LA,Allen Parish,22,25627,22697,22687
"Ascension Parish, LA",5,LA,Ascension Parish,22,126604,126984,128369
"Assumption Parish, LA",7,LA,Assumption Parish,22,21891,20968,20689
"Avoyelles Parish, LA",9,LA,Avoyelles Parish,22,40144,39616,39236
"Beauregard Parish, LA",11,LA,Beauregard Parish,22,37497,36573,36584
"Bienville Parish, LA",13,LA,Bienville Parish,22,13241,12899,12776
"Bossier Parish, LA",15,LA,Bossier Parish,22,127039,128615,129144
"Caddo Parish, LA",17,LA,Caddo Parish,22,240204,237056,233092
"Calcasieu Parish, LA",19,LA,Calcasieu Parish,22,203436,216416,205282
"Caldwell Parish, LA",21,LA,Caldwell Parish,22,9918,9617,9571
"Cameron Parish, LA",23,LA,Cameron Parish,22,6973,5619,5080
"Catahoula Parish, LA",25,LA,Catahoula Parish,22,9494,8859,8805
"Claiborne Parish, LA",27,LA,Claiborne Parish,22,15670,14109,14038
"Concordia Parish, LA",29,LA,Concordia Parish,22,19259,18589,18376
"De Soto Parish, LA",31,LA,De Soto Parish,22,27463,26854,26919
"East Baton Rouge Parish, LA",33,LA,East Baton Rouge Parish,22,440059,455884,453301
"East Carroll Parish, LA",35,LA,East Carroll Parish,22,6861,7383,7220
"East Feliciana Parish, LA",37,LA,East Feliciana Parish,22,19135,19451,19338
"Evangeline Parish, LA",39,LA,Evangeline Parish,22,33395,32307,32215
"Franklin Parish, LA",41,LA,Franklin Parish,22,20015,19721,19668
"Grant Parish, LA",43,LA,Grant Parish,22,22389,22129,22236
"Iberia Parish, LA",45,LA,Iberia Parish,22,69830,69725,68975
"Iberville Parish, LA",47,LA,Iberville Parish,22,32511,30095,29824
"Jackson Parish, LA",49,LA,Jackson Parish,22,15744,14989,14876
"Jefferson Parish, LA",51,LA,Jefferson Parish,22,432493,439845,433688
"Jefferson Davis Parish, LA",53,LA,Jefferson Davis Parish,22,31368,32166,32345
