county_state,COUNTY,STNAME,CTYNAME,STATE,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021
"Prince of Wales-Hyder Census Area, AK",198,AK,Prince of Wales-Hyder Census Area,2,6203,5725,5729
"Sitka City and Borough, AK",220,AK,Sitka City and Borough,2,8493,8428,8407
"Skagway Municipality, AK",230,AK,Skagway Municipality,2,1183,1239,1132
"Southeast Fairbanks Census Area, AK",240,AK,Southeast Fairbanks Census Area,2,6893,6831,6970
"Wrangell City and Borough, AK",275,AK,Wrangell City and Borough,2,2502,2130,2055
"Yakutat City and Borough, AK",282,AK,Yakutat City and Borough,2,579,683,704
"Yukon-Koyukuk Census Area, AK",290,AK,Yukon-Koyukuk Census Area,2,5230,5300,5275
"Apache County, AZ",1,AZ,Apache County,4,71887,65897,65623
"Cochise County, AZ",3,AZ,Cochise County,4,125922,125398,126050
"Coconino County, AZ",5,AZ,Coconino County,4,143476,145116,145052
"Gila County, AZ",7,AZ,Gila County,4,54018,53306,53589
"Graham County, AZ",9,AZ,Graham County,4,38837,38614,39050
"Greenlee County, AZ",11,AZ,Greenlee County,4,9498,9522,9404
"La Paz County, AZ",12,AZ,La Paz County,4,21108,16580,16408
"Maricopa County, AZ",13,AZ,Maricopa County,4,4485414,4438342,4496588
"Mohave County, AZ",15,AZ,Mohave County,4,212181,214070,217692
"Navajo County, AZ",17,AZ,Navajo County,4,110924,106802,108147
"Pima County, AZ",19,AZ,Pima County,4,1047279,1045599,1052030
"Pinal County, AZ",21,AZ,Pinal County,4,462789,429583,449557
"Santa Cruz County, AZ",23,AZ,Santa Cruz County,4,46498,47653,47883
"Yavapai County, AZ",25,AZ,Yavapai County,4,235099,237067,242253
"Yuma County, AZ",27,AZ,Yuma County,4,213787,204437,206990
"Arkansas County, AR",1,AR,Arkansas County,5,17486,17105,16722
"Ashley County, AR",3,AR,Ashley County,5,19657,18960,18674
"Baxter County, AR",5,AR,Baxter County,5,41932,41655,42144
"Benton County, AR",7,AR,Benton County,5,279141,286353,293692
"Boone County, AR",9,AR,Boone County,5,37432,37352,37830
"Bradley County, AR",11,AR,Bradley County,5,10763,10498,10408
"Calhoun County, AR",13,AR,Calhoun County,5,113605,4725,4741
"Carroll County, AR",15,AR,Carroll County,5,28380,28202,28435
"Chicot County, AR",17,AR,Chicot County,5,10118,10143,10019
"Clark County, AR",19,AR,Clark County,5,22320,21362,21321
"Clay County, AR",21,AR,Clay County,5,13235,14508,14350
"Cleburne County, AR",23,AR,Cleburne County,5,14910,24665,25015
"Cleveland County, AR",25,AR,Cleveland County,5,7956,7544,7514
"Columbia County, AR",27,AR,Columbia County,5,23457,22741,22672
"Conway County, AR",29,AR,Conway County,5,20846,20729,20873
"Craighead County, AR",31,AR,Craighead County,5,110332,111576,112218
"Crawford County, AR",33,AR,Crawford County,5,63257,60107,60378
"Crittenden County, AR",35,AR,Crittenden County,5,47955,48067,47525
